t_press_ms,t_vis_ms,dt_ms
1764592096869,1764592096445,424
1764592097589,1764592097267,322
1764592098309,1764592098056,253
1764592099029,1764592098796,233
1764592099749,1764592099566,183
1764592100829,1764592100343,486
1764592101549,1764592101321,228
1764592102269,1764592102045,224
1764592103349,1764592102969,380
1764592104069,1764592103822,247
1764592104789,1764592104700,89
1764592105869,1764592105563,306
1764592106589,1764592106388,201
1764592107669,1764592107194,475
1764592108389,1764592108129,260
1764592109469,1764592109051,418
1764592110189,1764592109892,297
1764592111269,1764592110803,466
1764592111989,1764592111759,230
1764592113069,1764592112731,338
1764592113789,1764592113462,327
1764592114869,1764592114379,490
1764592115589,1764592115314,275
1764592116669,1764592116296,373
1764592117389,1764592117144,245
1764592118469,1764592118135,334
1764592119189,1764592119004,185
1764592120269,1764592119956,313
1764592120989,1764592120901,88
1764592122069,1764592121822,247
1764592123149,1764592122725,424
1764592123869,1764592123668,201
1764592124949,1764592124652,297
1764592126029,1764592125563,466
1764592126749,1764592126584,165
1764592127829,1764592127542,287
1764592128909,1764592128448,461
1764592129629,1764592129513,116
1764592130709,1764592130413,296
1764592131789,1764592131402,387
1764592132509,1764592132390,119
1764592133589,1764592133367,222
1764592134669,1764592134294,375
1764592135389,1764592135269,120
1764592136469,1764592136283,186
1764592137549,1764592137292,257
1764592138629,1764592138339,290
1764592139709,1764592139377,332
1764592140789,1764592140402,387
1764592141869,1764592141489,380
