pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
54,50,1764592096869,1764592096445,-424
56,72,1764592097589,1764592097267,-322
58,94,1764592098309,1764592098056,-253
60,115,1764592099029,1764592098796,-233
62,136,1764592099749,1764592099566,-183
65,158,1764592100829,1764592100343,-486
67,182,1764592101549,1764592101321,-228
69,205,1764592102269,1764592102045,-224
72,228,1764592103349,1764592102969,-380
74,250,1764592104069,1764592103822,-247
76,274,1764592104789,1764592104700,-89
79,297,1764592105869,1764592105563,-306
81,319,1764592106589,1764592106388,-201
84,344,1764592107669,1764592107194,-475
86,370,1764592108389,1764592108129,-260
89,395,1764592109469,1764592109051,-418
91,420,1764592110189,1764592109892,-297
94,446,1764592111269,1764592110803,-466
96,473,1764592111989,1764592111759,-230
99,495,1764592113069,1764592112731,-338
101,516,1764592113789,1764592113462,-327
104,543,1764592114869,1764592114379,-490
106,569,1764592115589,1764592115314,-275
109,594,1764592116669,1764592116296,-373
111,618,1764592117389,1764592117144,-245
114,644,1764592118469,1764592118135,-334
116,669,1764592119189,1764592119004,-185
119,693,1764592120269,1764592119956,-313
121,718,1764592120989,1764592120901,-88
124,741,1764592122069,1764592121822,-247
127,767,1764592123149,1764592122725,-424
129,793,1764592123869,1764592123668,-201
132,820,1764592124949,1764592124652,-297
135,845,1764592126029,1764592125563,-466
137,874,1764592126749,1764592126584,-165
140,899,1764592127829,1764592127542,-287
143,926,1764592128909,1764592128448,-461
145,955,1764592129629,1764592129513,-116
148,979,1764592130709,1764592130413,-296
151,1005,1764592131789,1764592131402,-387
153,1030,1764592132509,1764592132390,-119
156,1057,1764592133589,1764592133367,-222
159,1082,1764592134669,1764592134294,-375
161,1110,1764592135389,1764592135269,-120
164,1139,1764592136469,1764592136283,-186
167,1166,1764592137549,1764592137292,-257
170,1193,1764592138629,1764592138339,-290
173,1220,1764592139709,1764592139377,-332
176,1249,1764592140789,1764592140402,-387
179,1277,1764592141869,1764592141489,-380
