pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
38,49,1764658247694,1764658247610,-84
41,78,1764658248774,1764658248646,-128
44,110,1764658249854,1764658249717,-137
47,138,1764658250934,1764658250724,-210
50,172,1764658252014,1764658251895,-119
53,203,1764658253094,1764658252983,-111
57,240,1764658254534,1764658254220,-314
60,276,1764658255614,1764658255432,-182
64,317,1764658257054,1764658256839,-215
68,356,1764658258494,1764658258186,-308
71,393,1764658259574,1764658259470,-104
75,433,1764658261014,1764658260863,-151
79,471,1764658262454,1764658262115,-339
82,510,1764658263534,1764658263456,-78
86,549,1764658264974,1764658264816,-158
90,590,1764658266414,1764658266227,-187
94,627,1764658267854,1764658267511,-343
97,666,1764658268934,1764658268867,-67
101,706,1764658270374,1764658270264,-110
105,740,1764658271814,1764658271561,-253
109,779,1764658273254,1764658272871,-383
112,819,1764658274334,1764658274241,-93
116,857,1764658275774,1764658275591,-183
120,894,1764658277214,1764658276868,-346
123,930,1764658278294,1764658278152,-142
127,967,1764658279734,1764658279428,-306
130,1005,1764658280814,1764658280793,-21
134,1042,1764658282254,1764658281998,-256
138,1078,1764658283694,1764658283327,-367
141,1114,1764658284774,1764658284600,-174
145,1151,1764658286214,1764658285819,-395
148,1186,1764658287294,1764658287072,-222
152,1225,1764658288734,1764658288480,-254
155,1260,1764658289814,1764658289658,-156
159,1300,1764658291254,1764658291049,-205
163,1338,1764658292694,1764658292305,-389
166,1375,1764658293774,1764658293599,-175
170,1411,1764658295214,1764658294908,-306
174,1447,1764658296654,1764658296246,-408
177,1486,1764658297734,1764658297619,-115
181,1524,1764658299174,1764658298895,-279
185,1566,1764658300614,1764658300399,-215
188,1602,1764658301694,1764658301574,-120
192,1640,1764658303134,1764658302895,-239
196,1676,1764658304574,1764658304224,-350
199,1716,1764658305654,1764658305573,-81
203,1752,1764658307094,1764658306893,-201
207,1791,1764658308534,1764658308290,-244
211,1831,1764658309974,1764658309664,-310
214,1866,1764658311054,1764658310937,-117
218,1905,1764658312494,1764658312247,-247
222,1944,1764658313934,1764658313524,-410
