idx,mcu_ms,host_ms,val
0,316029,1764658234014,1276
1,316389,1764658234374,1459
2,316749,1764658234734,1463
3,317109,1764658235094,1426
4,317469,1764658235454,1424
5,317829,1764658235814,1410
6,318189,1764658236174,1404
7,318549,1764658236534,1353
8,318909,1764658236894,1433
9,319269,1764658237254,1514
10,319629,1764658237614,1465
11,319989,1764658237974,1522
12,320349,1764658238334,1489
13,320709,1764658238694,1388
14,321069,1764658239054,1353
15,321429,1764658239414,1363
16,321789,1764658239774,1342
17,322149,1764658240134,1329
18,322509,1764658240494,1355
19,322869,1764658240854,8244
20,323229,1764658241214,9716
21,323589,1764658241574,8342
22,323949,1764658241934,9875
23,324309,1764658242294,11921
24,324669,1764658242654,11337
25,325029,1764658243014,11865
26,325389,1764658243374,11786
27,325749,1764658243734,12264
28,326109,1764658244094,12502
29,326469,1764658244454,12192
30,326829,1764658244814,13043
31,327189,1764658245174,13360
32,327549,1764658245534,13748
33,327909,1764658245894,13570
34,328269,1764658246254,14363
35,328629,1764658246614,14123
36,328989,1764658246974,14191
37,329349,1764658247334,22499
38,329709,1764658247694,80833
39,330069,1764658248054,21870
40,330429,1764658248414,20764
41,330789,1764658248774,90428
42,331149,1764658249134,21946
43,331509,1764658249494,17984
44,331869,1764658249854,83153
45,332229,1764658250214,26086
46,332589,1764658250574,18501
47,332949,1764658250934,86723
48,333309,1764658251294,25846
49,333669,1764658251654,16627
50,334029,1764658252014,75151
51,334389,1764658252374,44080
52,334749,1764658252734,13932
53,335109,1764658253094,70896
54,335469,1764658253454,52798
55,335829,1764658253814,6545
56,336189,1764658254174,54272
57,336549,1764658254534,79547
58,336909,1764658254894,1961
59,337269,1764658255254,24798
60,337629,1764658255614,89961
61,337989,1764658255974,32159
62,338349,1764658256334,4979
63,338709,1764658256694,42014
64,339069,1764658257054,88000
65,339429,1764658257414,11925
66,339789,1764658257774,10395
67,340149,1764658258134,62158
68,340509,1764658258494,71120
69,340869,1764658258854,2371
70,341229,1764658259214,16355
71,341589,1764658259574,74523
72,341949,1764658259934,50403
73,342309,1764658260294,2515
74,342669,1764658260654,27211
75,343029,1764658261014,83841
76,343389,1764658261374,15547
77,343749,1764658261734,5929
78,344109,1764658262094,56221
79,344469,1764658262454,71083
80,344829,1764658262814,5708
81,345189,1764658263174,14945
82,345549,1764658263534,67059
83,345909,1764658263894,61644
84,346269,1764658264254,2148
85,346629,1764658264614,21336
86,346989,1764658264974,79298
87,347349,1764658265334,28875
88,347709,1764658265694,3861
89,348069,1764658266054,38040
90,348429,1764658266414,77750
91,348789,1764658266774,7444
92,349149,1764658267134,13325
93,349509,1764658267494,69071
94,349869,1764658267854,71941
95,350229,1764658268214,3229
96,350589,1764658268574,16538
97,350949,1764658268934,72506
98,351309,1764658269294,54786
99,351669,1764658269654,3698
100,352029,1764658270014,25830
101,352389,1764658270374,79615
102,352749,1764658270734,30305
