frame_idx,timestamp_ms,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,sig_mm,conf,conf_ema,vision_state,has_hand,has_main_hand,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1767153026752,-0.09187991236812415,-0.09187991236812415,-0.09187991236812415,-0.09187991236812415,-0.09187991236812415,0.9817693829536438,0.5890616297721862,ok,True,True,0.0,0.0,1.0,0.0,0.9804841750435145
1,1767153026785,-0.6083240894357091,-0.4017464186086751,-0.3661128757502768,-0.3661128757502768,-0.3661128757502768,0.9862183332443237,0.8273556518554687,ok,True,True,-0.05635902907768333,0.20657767082703404,1.0,0.0,0.9804841750435145
2,1767153026818,-0.23496560570955835,-0.301677930869205,-0.30936190994773477,-0.30936190994773477,-0.30936190994773477,0.9820183515548706,0.9201532716751099,ok,True,True,-0.03967488321085169,0.06671232515964667,1.0,0.0,0.9804841750435145
3,1767153026852,-0.5819782982131378,-0.46985815127556474,-0.451452493195727,-0.451452493195727,-0.451452493195727,0.9819952249526978,0.9572584436416626,ok,True,True,-0.08876715153386008,0.1121201469375731,1.0,0.0,0.9804841750435145
4,1767153026885,-0.4970958831681651,-0.48620079041112496,-0.4825325089313927,-0.4825325089313927,-0.4825325089313927,0.9800829291343689,0.9709531349372863,ok,True,True,-0.10028953935635117,0.010895092757040148,1.0,0.0,0.9804841750435145
5,1767153026918,-0.010681540118454212,-0.20088924023552251,-0.23370886660543277,-0.23370886660543277,-0.23370886660543277,0.9837399125099182,0.9786252014808654,ok,True,True,0.017914304819422897,0.1902077001170683,1.0,0.0,0.9804841750435145
6,1767153026952,-0.46028993923506156,-0.3565296596352459,-0.34234415117285066,-0.34234415117285066,-0.34234415117285066,0.9820954203605652,0.9807073328086853,ok,True,True,-0.039516867249587403,0.10376027959981565,1.0,0.0,0.9804841750435145
7,1767153026990,-0.9972693501678838,-0.7409734739548286,-0.6953923827576811,-0.6953923827576811,-0.6953923827576811,0.982506513595581,0.9817868412808228,ok,True,True,-0.24375638142562178,0.25629587621305516,1.0,0.0,0.9804841750435145
8,1767153027018,-0.14214037140856606,-0.3816736124270711,-0.4185302648941913,-0.4185302648941913,-0.4185302648941913,0.9815211296081543,0.9816274142772217,ok,True,True,-0.0632629237979401,0.23953324101850504,1.0,0.0,0.9804841750435145
9,1767153027051,0.0632004725704973,-0.11474916142853009,-0.14971837747593125,-0.14971837747593125,-0.14971837747593125,0.9813364744186401,0.9814528503620727,ok,True,True,0.12196306939151699,0.17794963399902738,1.0,0.0,0.9804841750435145
10,1767153027091,-0.4922393836954181,-0.3412432947886629,-0.31892030292500895,-0.31892030292500895,-0.31892030292500895,0.9831280708312988,0.9824579826436084,ok,True,True,-0.0048110411132593345,0.1509960889067552,1.0,0.0,0.9804841750435145
11,1767153027123,-0.4940957734347048,-0.432954781976288,-0.4199785467291743,-0.4199785467291743,-0.4199785467291743,0.9763361215591431,0.9787848659929292,ok,True,True,-0.08323237197420554,0.06114099145841678,1.0,0.0,0.9804841750435145
12,1767153027163,0.08950028509983547,-0.11948174173061392,-0.15398885112041127,-0.15398885112041127,-0.15398885112041127,0.981020987033844,0.9801265386174781,ok,True,True,0.1372569061964502,0.2089820268304494,1.0,0.0,0.9804841750435145
13,1767153027202,-0.7655482309463243,-0.5071216352600402,-0.46647779856721994,-0.46647779856721994,-0.46647779856721994,0.9804103970527649,0.9802968536786502,ok,True,True,-0.13577375872495517,0.2584265956862841,1.0,0.0,0.9804841750435145
14,1767153027224,0.45114569672485183,0.067838763930895,0.006695151486903805,0.006695151486903805,0.006695151486903805,0.9832042455673218,0.9820412888118532,ok,True,True,0.29390757657090305,0.38330693279395683,1.0,0.0,0.9804841750435145
15,1767153027251,-0.574432045186254,-0.3175237215393944,-0.27966953790629445,-0.27966953790629445,-0.27966953790629445,0.9790276885032654,0.9802331286267005,ok,True,True,0.016845179560812495,0.2569083236468596,1.0,0.0,0.9804841750435145
16,1767153027288,0.14152517649309795,-0.04209438271989899,-0.06892379617592775,-0.06892379617592775,-0.06892379617592775,0.9871121644973755,0.9843605501491055,ok,True,True,0.22057019782744652,0.18361955921299694,1.0,0.0,0.9804841750435145
17,1767153027323,-0.9501756736238722,-0.586943157262283,-0.5275374847490701,-0.5275374847490701,-0.5275374847490701,0.9771512150764465,0.98003494910551,ok,True,True,-0.24578151572124185,0.36323251636158926,1.0,0.0,0.9804841750435145
18,1767153027352,-0.13746778670875137,-0.317257934930164,-0.3419360715333831,-0.3419360715333831,-0.3419360715333831,0.9804705381393433,0.98029630252581,ok,True,True,-0.046121453107148075,0.17979014822141265,1.0,0.0,0.9804841750435145
19,1767153027385,0.12745569636376666,-0.05042975615380561,-0.08349969674758406,-0.08349969674758406,-0.08349969674758406,0.9809041619300842,0.9806610181683746,ok,True,True,0.2288477384917416,0.17788545251757226,1.0,0.0,0.9804841750435145
20,1767153027420,-0.14246222226119787,-0.10564923581824096,-0.10229180212947275,-0.10229180212947275,-0.10229180212947275,0.9828794598579407,0.9819920831821143,ok,True,True,0.20023036127347063,0.03681298644295691,1.0,0.0,0.9804841750435145
21,1767153027458,-0.9269506862044982,-0.5984301060499952,-0.5417849965418807,-0.5417849965418807,-0.5417849965418807,0.9806705713272095,0.9811991760691714,ok,True,True,-0.2935843013611389,0.3285205801545029,1.0,0.0,0.9804841750435145
22,1767153027487,0.2557879765140271,-0.08589925651158184,-0.13832006087618492,-0.13832006087618492,-0.13832006087618492,0.9818801879882812,0.9816077832206374,ok,True,True,0.17284666690898337,0.341687233025609,1.0,0.0,0.9804841750435145
23,1767153027518,-0.5331259366529598,-0.3542352645964086,-0.3292987397067592,-0.3292987397067592,-0.3292987397067592,0.9750375151634216,0.9776656223863079,ok,True,True,-0.05319579845217845,0.17889067205655124,1.0,0.0,0.9804841750435145
24,1767153027551,-0.6223820748917321,-0.5151233507736027,-0.49443288452367246,-0.49443288452367246,-0.49443288452367246,0.9826347231864929,0.9806470828664189,ok,True,True,-0.24394357628834565,0.10725872411812942,1.0,0.0,0.9804841750435145
25,1767153027585,-1.4308081959995198,-1.064534257909153,-1.001397634008611,-1.001397634008611,-1.001397634008611,0.977912187576294,0.979006145692344,ok,True,True,-0.8350137212106304,0.3662739380903668,1.0,0.0,0.9804841750435145
26,1767153027618,-0.9283587836847621,-0.9828289733745186,-0.9880393226043821,-0.9880393226043821,-0.9880393226043821,0.9761497974395752,0.9772923367406827,ok,True,True,-0.7855498467427628,0.054470189689756476,1.0,0.0,0.9804841750435145
27,1767153027652,-0.6373653815490714,-0.7755508182792503,-0.8023367553327403,-0.8023367553327403,-0.8023367553327403,0.982498049736023,0.9804157645378868,ok,True,True,-0.52801102194504,0.1381854367301789,1.0,0.0,0.9804841750435145
28,1767153027685,-1.3471269743152618,-1.1184965119008572,-1.0850055265391578,-1.0850055265391578,-1.0850055265391578,0.9804332256317139,0.9804262411941831,ok,True,True,-0.8537574677144949,0.22863046241440466,1.0,0.0,0.9804841750435145
29,1767153027718,-0.22353990044113087,-0.5815225450250214,-0.6411672971132965,-0.6411672971132965,-0.6411672971132965,0.9723950028419495,0.9756074981828429,ok,True,True,-0.2675021317363856,0.35798264458389056,1.0,0.0,0.9804841750435145
30,1767153027751,-0.1171796883196422,-0.3029168310017939,-0.3418279311829377,-0.3418279311829377,-0.3418279311829377,0.9681918025016785,0.9711580807741442,ok,True,True,0.11863280518803127,0.1857371426821517,1.0,0.0,0.9804841750435145
31,1767153027785,0.6898153459612649,0.2927224751760414,0.22207009724199567,0.22207009724199567,0.22207009724199567,0.9767629504203796,0.9745210025618855,ok,True,True,0.8258764025517269,0.39709287078522354,1.0,0.0,0.9804841750435145
32,1767153027818,2.2398777889190957,1.461015663421874,1.3253334310089966,1.3253334310089966,1.3253334310089966,0.9603326320648193,0.9660079802636458,ok,True,True,2.194870164945182,0.7788621254972217,1.0,0.0,0.9804841750435145
33,1767153027851,3.6500213210319226,2.774419057987903,2.620359046787325,2.620359046787325,2.620359046787325,0.9559503197669983,0.9599733839656572,ok,True,True,3.76052159715502,0.8756022630440197,1.0,0.0,0.9804841750435145
