pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
31,44,1764591441527,1764591441419,-108
33,62,1764591442247,1764591442087,-160
35,82,1764591442967,1764591442772,-195
37,104,1764591443687,1764591443576,-111
39,127,1764591444407,1764591444360,-47
42,150,1764591445487,1764591445162,-325
44,176,1764591446207,1764591446032,-175
46,199,1764591446927,1764591446844,-83
49,225,1764591448007,1764591447728,-279
51,250,1764591448727,1764591448615,-112
54,276,1764591449807,1764591449539,-268
56,301,1764591450527,1764591450364,-163
59,327,1764591451607,1764591451273,-334
61,354,1764591452327,1764591452209,-118
64,379,1764591453407,1764591453117,-290
66,407,1764591454127,1764591454046,-81
69,433,1764591455207,1764591455006,-201
72,458,1764591456287,1764591455949,-338
74,485,1764591457007,1764591456881,-126
77,511,1764591458087,1764591457785,-302
79,539,1764591458807,1764591458734,-73
82,566,1764591459887,1764591459642,-245
84,592,1764591460607,1764591460562,-45
87,618,1764591461687,1764591461432,-255
90,643,1764591462767,1764591462412,-355
92,669,1764591463487,1764591463298,-189
95,695,1764591464567,1764591464259,-308
97,719,1764591465287,1764591465127,-160
100,745,1764591466367,1764591465997,-370
102,773,1764591467087,1764591466962,-125
105,798,1764591468167,1764591467854,-313
107,824,1764591468887,1764591468802,-85
110,851,1764591469967,1764591469764,-203
112,876,1764591470687,1764591470658,-29
115,900,1764591471767,1764591471568,-199
118,928,1764591472847,1764591472583,-264
120,953,1764591473567,1764591473551,-16
123,981,1764591474647,1764591474561,-86
126,1008,1764591475727,1764591475588,-139
129,1035,1764591476807,1764591476631,-176
132,1064,1764591477887,1764591477617,-270
135,1093,1764591478967,1764591478681,-286
138,1120,1764591480047,1764591479663,-384
140,1147,1764591480767,1764591480613,-154
143,1176,1764591481847,1764591481611,-236
146,1205,1764591482927,1764591482602,-325
149,1234,1764591484007,1764591483602,-405
151,1262,1764591484727,1764591484674,-53
154,1289,1764591485807,1764591485651,-156
157,1317,1764591486887,1764591486675,-212
