t_press_ms,t_vis_ms,dt_ms
1764591441527,1764591441419,108
1764591442247,1764591442087,160
1764591442967,1764591442772,195
1764591443687,1764591443576,111
1764591444407,1764591444360,47
1764591445487,1764591445162,325
1764591446207,1764591446032,175
1764591446927,1764591446844,83
1764591448007,1764591447728,279
1764591448727,1764591448615,112
1764591449807,1764591449539,268
1764591450527,1764591450364,163
1764591451607,1764591451273,334
1764591452327,1764591452209,118
1764591453407,1764591453117,290
1764591454127,1764591454046,81
1764591455207,1764591455006,201
1764591456287,1764591455949,338
1764591457007,1764591456881,126
1764591458087,1764591457785,302
1764591458807,1764591458734,73
1764591459887,1764591459642,245
1764591460607,1764591460562,45
1764591461687,1764591461432,255
1764591462767,1764591462412,355
1764591463487,1764591463298,189
1764591464567,1764591464259,308
1764591465287,1764591465127,160
1764591466367,1764591465997,370
1764591467087,1764591466962,125
1764591468167,1764591467854,313
1764591468887,1764591468802,85
1764591469967,1764591469764,203
1764591470687,1764591470658,29
1764591471767,1764591471568,199
1764591472847,1764591472583,264
1764591473567,1764591473551,16
1764591474647,1764591474561,86
1764591475727,1764591475588,139
1764591476807,1764591476631,176
1764591477887,1764591477617,270
1764591478967,1764591478681,286
1764591480047,1764591479663,384
1764591480767,1764591480613,154
1764591481847,1764591481611,236
1764591482927,1764591482602,325
1764591484007,1764591483602,405
1764591484727,1764591484674,53
1764591485807,1764591485651,156
1764591486887,1764591486675,212
