pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
37,43,1764594018074,1764594017991,-83
40,65,1764594019154,1764594018864,-290
42,86,1764594019874,1764594019651,-223
44,111,1764594020594,1764594020568,-26
47,137,1764594021674,1764594021438,-236
50,164,1764594022754,1764594022359,-395
52,193,1764594023474,1764594023414,-60
55,221,1764594024554,1764594024316,-238
58,248,1764594025634,1764594025293,-341
61,278,1764594026714,1764594026442,-272
63,303,1764594027434,1764594027401,-33
66,330,1764594028514,1764594028327,-187
69,358,1764594029594,1764594029332,-262
72,389,1764594030674,1764594030454,-220
75,419,1764594031754,1764594031499,-255
78,447,1764594032834,1764594032559,-275
81,475,1764594033914,1764594033558,-356
83,504,1764594034634,1764594034562,-72
86,535,1764594035714,1764594035670,-44
89,564,1764594036794,1764594036716,-78
92,592,1764594037874,1764594037780,-94
95,620,1764594038954,1764594038818,-136
98,649,1764594040034,1764594039867,-167
101,678,1764594041114,1764594040877,-237
104,705,1764594042194,1764594041886,-308
107,737,1764594043274,1764594043049,-225
110,765,1764594044354,1764594044015,-339
113,796,1764594045434,1764594045157,-277
116,825,1764594046514,1764594046217,-297
119,854,1764594047594,1764594047208,-386
121,886,1764594048314,1764594048338,24
124,916,1764594049394,1764594049294,-100
127,947,1764594050474,1764594050323,-151
130,977,1764594051554,1764594051483,-71
133,1004,1764594052634,1764594052459,-175
136,1034,1764594053714,1764594053495,-219
139,1066,1764594054794,1764594054601,-193
142,1099,1764594055874,1764594055723,-151
145,1132,1764594056954,1764594056854,-100
148,1165,1764594058034,1764594057966,-68
151,1197,1764594059114,1764594059028,-86
155,1230,1764594060554,1764594060219,-335
158,1260,1764594061634,1764594061288,-346
161,1292,1764594062714,1764594062437,-277
164,1326,1764594063794,1764594063571,-223
167,1356,1764594064874,1764594064682,-192
170,1388,1764594065954,1764594065787,-167
173,1421,1764594067034,1764594066995,-39
176,1451,1764594068114,1764594068101,-13
180,1487,1764594069554,1764594069301,-253
