t_press_ms,t_vis_ms,dt_ms
1764594018074,1764594017991,83
1764594019154,1764594018864,290
1764594019874,1764594019651,223
1764594020594,1764594020568,26
1764594021674,1764594021438,236
1764594022754,1764594022359,395
1764594023474,1764594023414,60
1764594024554,1764594024316,238
1764594025634,1764594025293,341
1764594026714,1764594026442,272
1764594027434,1764594027401,33
1764594028514,1764594028327,187
1764594029594,1764594029332,262
1764594030674,1764594030454,220
1764594031754,1764594031499,255
1764594032834,1764594032559,275
1764594033914,1764594033558,356
1764594034634,1764594034562,72
1764594035714,1764594035670,44
1764594036794,1764594036716,78
1764594037874,1764594037780,94
1764594038954,1764594038818,136
1764594040034,1764594039867,167
1764594041114,1764594040877,237
1764594042194,1764594041886,308
1764594043274,1764594043049,225
1764594044354,1764594044015,339
1764594045434,1764594045157,277
1764594046514,1764594046217,297
1764594047594,1764594047208,386
1764594048314,1764594048338,-24
1764594049394,1764594049294,100
1764594050474,1764594050323,151
1764594051554,1764594051483,71
1764594052634,1764594052459,175
1764594053714,1764594053495,219
1764594054794,1764594054601,193
1764594055874,1764594055723,151
1764594056954,1764594056854,100
1764594058034,1764594057966,68
1764594059114,1764594059028,86
1764594060554,1764594060219,335
1764594061634,1764594061288,346
1764594062714,1764594062437,277
1764594063794,1764594063571,223
1764594064874,1764594064682,192
1764594065954,1764594065787,167
1764594067034,1764594066995,39
1764594068114,1764594068101,13
1764594069554,1764594069301,253
