pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
37,49,1764595466274,1764595469617,3343
47,80,1764595469874,1764595470632,758
50,109,1764595470954,1764595471686,732
53,137,1764595472034,1764595472757,723
56,164,1764595473114,1764595473714,600
58,192,1764595473834,1764595474720,886
61,222,1764595474914,1764595475763,849
64,249,1764595475994,1764595476765,771
67,281,1764595477074,1764595477894,820
70,310,1764595478154,1764595478960,806
73,336,1764595479234,1764595479957,723
76,365,1764595480314,1764595481019,705
79,398,1764595481394,1764595482204,810
82,424,1764595482474,1764595483177,703
85,457,1764595483554,1764595484294,740
88,488,1764595484634,1764595485410,776
91,519,1764595485714,1764595486481,767
94,550,1764595486794,1764595487528,734
97,581,1764595487874,1764595488664,790
100,609,1764595488954,1764595489681,727
103,639,1764595490034,1764595490833,799
106,669,1764595491114,1764595491799,685
109,700,1764595492194,1764595492891,697
112,731,1764595493274,1764595493997,723
115,761,1764595494354,1764595495051,697
118,794,1764595495434,1764595496216,782
121,826,1764595496514,1764595497327,813
124,859,1764595497594,1764595498461,867
127,890,1764595498674,1764595499616,942
130,920,1764595499754,1764595500725,971
133,949,1764595500834,1764595501822,988
136,979,1764595501914,1764595502916,1002
140,1009,1764595503354,1764595503940,586
143,1041,1764595504434,1764595505089,655
146,1071,1764595505514,1764595506137,623
149,1103,1764595506594,1764595507281,687
152,1135,1764595507674,1764595508366,692
155,1167,1764595508754,1764595509557,803
158,1195,1764595509834,1764595510542,708
161,1228,1764595510914,1764595511629,715
164,1259,1764595511994,1764595512709,715
167,1291,1764595513074,1764595513771,697
170,1322,1764595514154,1764595514854,700
173,1353,1764595515234,1764595516019,785
176,1384,1764595516314,1764595517101,787
179,1412,1764595517394,1764595518073,679
182,1442,1764595518474,1764595519161,687
185,1474,1764595519554,1764595520321,767
188,1505,1764595520634,1764595521355,721
191,1538,1764595521714,1764595522434,720
194,1572,1764595522794,1764595523575,781
197,1606,1764595523874,1764595524678,804
200,1636,1764595524954,1764595525740,786
203,1664,1764595526034,1764595526758,724
