t_press_ms,t_vis_ms,dt_ms
1764595469874,1764595469617,257
1764595470954,1764595470632,322
1764595472034,1764595471686,348
1764595473114,1764595472757,357
1764595473834,1764595473714,120
1764595474914,1764595474720,194
1764595475994,1764595475763,231
1764595477074,1764595476765,309
1764595478154,1764595477894,260
1764595479234,1764595478960,274
1764595480314,1764595479957,357
1764595481394,1764595481019,375
1764595482474,1764595482204,270
1764595483554,1764595483177,377
1764595484634,1764595484294,340
1764595485714,1764595485410,304
1764595486794,1764595486481,313
1764595487874,1764595487528,346
1764595488954,1764595488664,290
1764595490034,1764595489681,353
1764595491114,1764595490833,281
1764595492194,1764595491799,395
1764595493274,1764595492891,383
1764595494354,1764595493997,357
1764595495434,1764595495051,383
1764595496514,1764595496216,298
1764595497594,1764595497327,267
1764595498674,1764595498461,213
1764595499754,1764595499616,138
1764595500834,1764595500725,109
1764595501914,1764595501822,92
1764595503354,1764595502916,438
1764595504434,1764595503940,494
1764595505514,1764595505089,425
1764595506594,1764595506137,457
1764595507674,1764595507281,393
1764595508754,1764595508366,388
1764595509834,1764595509557,277
1764595510914,1764595510542,372
1764595511994,1764595511629,365
1764595513074,1764595512709,365
1764595514154,1764595513771,383
1764595515234,1764595514854,380
1764595516314,1764595516019,295
1764595517394,1764595517101,293
1764595518474,1764595518073,401
1764595519554,1764595519161,393
1764595520634,1764595520321,313
1764595521714,1764595521355,359
1764595522794,1764595522434,360
1764595523874,1764595523575,299
1764595524954,1764595524678,276
1764595526034,1764595525740,294
