pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
47,36,1764593062729,1764593071948,9219
69,59,1764593070649,1764593072806,2157
73,84,1764593072089,1764593073753,1664
76,110,1764593073169,1764593074677,1508
78,139,1764593073889,1764593075712,1823
81,166,1764593074969,1764593076707,1738
84,195,1764593076049,1764593077693,1644
87,224,1764593077129,1764593078665,1536
89,253,1764593077849,1764593079671,1822
92,283,1764593078929,1764593080739,1810
95,312,1764593080009,1764593081775,1766
98,342,1764593081089,1764593082830,1741
101,368,1764593082169,1764593083900,1731
104,397,1764593083249,1764593084963,1714
106,423,1764593083969,1764593085984,2015
109,450,1764593085049,1764593087023,1974
112,479,1764593086129,1764593088093,1964
115,510,1764593087209,1764593089149,1940
118,537,1764593088289,1764593090176,1887
121,567,1764593089369,1764593091236,1867
124,599,1764593090449,1764593092449,2000
127,627,1764593091529,1764593093431,1902
130,657,1764593092609,1764593094484,1875
133,684,1764593093689,1764593095514,1825
136,712,1764593094769,1764593096616,1847
139,739,1764593095849,1764593097713,1864
142,768,1764593096929,1764593098797,1868
145,799,1764593098009,1764593099945,1936
148,830,1764593099089,1764593101080,1991
151,859,1764593100169,1764593102203,2034
154,887,1764593101249,1764593103361,2112
157,915,1764593102329,1764593104447,2118
161,944,1764593103769,1764593105625,1856
164,972,1764593104849,1764593106713,1864
167,1005,1764593105929,1764593107984,2055
170,1035,1764593107009,1764593109188,2179
173,1063,1764593108089,1764593110327,2238
177,1094,1764593109529,1764593111468,1939
180,1125,1764593110609,1764593112630,2021
183,1159,1764593111689,1764593113837,2148
186,1192,1764593112769,1764593115067,2298
190,1222,1764593114209,1764593116198,1989
193,1255,1764593115289,1764593117324,2035
196,1290,1764593116369,1764593118514,2145
200,1324,1764593117809,1764593119706,1897
203,1358,1764593118889,1764593120888,1999
206,1390,1764593119969,1764593122120,2151
209,1423,1764593121049,1764593123418,2369
213,1454,1764593122489,1764593124576,2087
216,1487,1764593123569,1764593125721,2152
220,1519,1764593125009,1764593126934,1925
223,1551,1764593126089,1764593128099,2010
226,1582,1764593127169,1764593129242,2073
229,1615,1764593128249,1764593130465,2216
233,1647,1764593129689,1764593131660,1971
236,1678,1764593130769,1764593132864,2095
239,1710,1764593131849,1764593134015,2166
243,1769,1764593133289,1764593152543,19254
