idx,mcu_ms,host_ms,val
0,7709,1764593045799,665
1,8079,1764593046169,724
2,8439,1764593046529,771
3,8799,1764593046889,667
4,9159,1764593047249,616
5,9519,1764593047609,670
6,9879,1764593047969,624
7,10239,1764593048329,550
8,10599,1764593048689,501
9,10959,1764593049049,600
10,11319,1764593049409,656
11,11679,1764593049769,580
12,12039,1764593050129,589
13,12399,1764593050489,611
14,12759,1764593050849,639
15,13119,1764593051209,635
16,13479,1764593051569,603
17,13839,1764593051929,590
18,14199,1764593052289,582
19,14559,1764593052649,533
20,14919,1764593053009,524
21,15279,1764593053369,604
22,15639,1764593053729,607
23,15999,1764593054089,548
24,16359,1764593054449,486
25,16719,1764593054809,529
26,17079,1764593055169,541
27,17439,1764593055529,608
28,17799,1764593055889,576
29,18159,1764593056249,561
30,18519,1764593056609,581
31,18879,1764593056969,563
32,19239,1764593057329,618
33,19599,1764593057689,621
34,19959,1764593058049,622
35,20319,1764593058409,617
36,20679,1764593058769,686
37,21039,1764593059129,693
38,21399,1764593059489,717
39,21759,1764593059849,669
40,22119,1764593060209,634
41,22479,1764593060569,628
42,22839,1764593060929,617
43,23199,1764593061289,655
44,23559,1764593061649,3339
45,23919,1764593062009,844
46,24279,1764593062369,16424
47,24639,1764593062729,21372
48,24999,1764593063089,17527
49,25359,1764593063449,14440
50,25719,1764593063809,13315
51,26079,1764593064169,9497
52,26439,1764593064529,4981
53,26799,1764593064889,6558
54,27159,1764593065249,7137
55,27519,1764593065609,7691
56,27879,1764593065969,7718
57,28239,1764593066329,8009
58,28599,1764593066689,8939
59,28959,1764593067049,8606
60,29319,1764593067409,8801
61,29679,1764593067769,9458
62,30039,1764593068129,10271
63,30399,1764593068489,10867
64,30759,1764593068849,10664
65,31119,1764593069209,10853
66,31479,1764593069569,10648
67,31839,1764593069929,10757
68,32199,1764593070289,11739
69,32559,1764593070649,12087
70,32919,1764593071009,11504
71,33279,1764593071369,11521
72,33639,1764593071729,8588
73,33999,1764593072089,45982
74,34359,1764593072449,25723
75,34719,1764593072809,30629
76,35079,1764593073169,93962
77,35439,1764593073529,4882
78,35799,1764593073889,67215
79,36159,1764593074249,41716
80,36519,1764593074609,18444
81,36879,1764593074969,103018
82,37239,1764593075329,4215
83,37599,1764593075689,19697
84,37959,1764593076049,93144
85,38319,1764593076409,2500
86,38679,1764593076769,49014
87,39039,1764593077129,65653
88,39399,1764593077489,1851
89,39759,1764593077849,75679
90,40119,1764593078209,32215
91,40479,1764593078569,4560
92,40839,1764593078929,96468
93,41199,1764593079289,6846
94,41559,1764593079649,23066
95,41919,1764593080009,95701
96,42279,1764593080369,2316
97,42639,1764593080729,26742
98,42999,1764593081089,89402
99,43359,1764593081449,1621
100,43719,1764593081809,33176
101,44079,1764593082169,78592
102,44439,1764593082529,1922
103,44799,1764593082889,56225
104,45159,1764593083249,64215
105,45519,1764593083609,1398
106,45879,1764593083969,64661
107,46239,1764593084329,62209
108,46599,1764593084689,1387
109,46959,1764593085049,69865
110,47319,1764593085409,50515
111,47679,1764593085769,1788
112,48039,1764593086129,73010
113,48399,1764593086489,36556
114,48759,1764593086849,1842
115,49119,1764593087209,78072
116,49479,1764593087569,45103
117,49839,1764593087929,1863
118,50199,1764593088289,78509
119,50559,1764593088649,30201
120,50919,1764593089009,3064
121,51279,1764593089369,83191
122,51639,1764593089729,15367
123,51999,1764593090089,6706
124,52359,1764593090449,88734
125,52719,1764593090809,8172
126,53079,1764593091169,22033
127,53439,1764593091529,87303
128,53799,1764593091889,4433
129,54159,1764593092249,8370
130,54519,1764593092609,87404
131,54879,1764593092969,12764
132,55239,1764593093329,8886
133,55599,1764593093689,83915
134,55959,1764593094049,5735
135,56319,1764593094409,17860
136,56679,1764593094769,76419
137,57039,1764593095129,2716
138,57399,1764593095489,28879
139,57759,1764593095849,82748
140,58119,1764593096209,2723
141,58479,1764593096569,31184
142,58839,1764593096929,84515
143,59199,1764593097289,2475
144,59559,1764593097649,31221
145,59919,1764593098009,82810
146,60279,1764593098369,2861
147,60639,1764593098729,20012
148,60999,1764593099089,80982
149,61359,1764593099449,3077
150,61719,1764593099809,3937
151,62079,1764593100169,85869
152,62439,1764593100529,7929
153,62799,1764593100889,2499
154,63159,1764593101249,83085
155,63519,1764593101609,37837
156,63879,1764593101969,1651
157,64239,1764593102329,75915
158,64599,1764593102689,50628
159,64959,1764593103049,1418
160,65319,1764593103409,63827
161,65679,1764593103769,70152
162,66039,1764593104129,1654
163,66399,1764593104489,51316
164,66759,1764593104849,80979
165,67119,1764593105209,2154
166,67479,1764593105569,30638
167,67839,1764593105929,83230
168,68199,1764593106289,3005
169,68559,1764593106649,19737
170,68919,1764593107009,92383
171,69279,1764593107369,11275
172,69639,1764593107729,2177
173,69999,1764593108089,88039
174,70359,1764593108449,47639
175,70719,1764593108809,1480
176,71079,1764593109169,55201
177,71439,1764593109529,78845
178,71799,1764593109889,1486
179,72159,1764593110249,30176
180,72519,1764593110609,94836
181,72879,1764593110969,3251
182,73239,1764593111329,4757
183,73599,1764593111689,83594
184,73959,1764593112049,18056
185,74319,1764593112409,1205
186,74679,1764593112769,77603
187,75039,1764593113129,65660
188,75399,1764593113489,1280
189,75759,1764593113849,43731
190,76119,1764593114209,83310
191,76479,1764593114569,2406
192,76839,1764593114929,4009
193,77199,1764593115289,86843
194,77559,1764593115649,23255
195,77919,1764593116009,1857
196,78279,1764593116369,79878
197,78639,1764593116729,59679
198,78999,1764593117089,1354
199,79359,1764593117449,60213
200,79719,1764593117809,71789
201,80079,1764593118169,1160
202,80439,1764593118529,39155
203,80799,1764593118889,80106
204,81159,1764593119249,3005
205,81519,1764593119609,12000
206,81879,1764593119969,91430
207,82239,1764593120329,13548
208,82599,1764593120689,1832
209,82959,1764593121049,75913
210,83319,1764593121409,61993
211,83679,1764593121769,1364
212,84039,1764593122129,39098
213,84399,1764593122489,84549
214,84759,1764593122849,2782
215,85119,1764593123209,3063
216,85479,1764593123569,89367
217,85839,1764593123929,36597
218,86199,1764593124289,1887
219,86559,1764593124649,55469
220,86919,1764593125009,75756
221,87279,1764593125369,1723
222,87639,1764593125729,31654
223,87999,1764593126089,86137
224,88359,1764593126449,2916
225,88719,1764593126809,5068
226,89079,1764593127169,90240
227,89439,1764593127529,16495
228,89799,1764593127889,1634
229,90159,1764593128249,76878
230,90519,1764593128609,55393
231,90879,1764593128969,1391
232,91239,1764593129329,49397
233,91599,1764593129689,79609
234,91959,1764593130049,2016
235,92319,1764593130409,19162
236,92679,1764593130769,91538
237,93039,1764593131129,8544
238,93399,1764593131489,2687
239,93759,1764593131849,84784
240,94119,1764593132209,52299
241,94479,1764593132569,1511
242,94839,1764593132929,58328
243,95199,1764593133289,75475
244,95559,1764593133649,1567
245,95919,1764593134009,31706
246,96279,1764593134369,85806
247,96639,1764593134729,1342
248,96999,1764593135089,1210
249,97359,1764593135449,1148
250,97719,1764593135809,1157
251,98079,1764593136169,1130
252,98439,1764593136529,1214
253,98799,1764593136889,1168
254,99159,1764593137249,1241
255,99519,1764593137609,1176
256,99879,1764593137969,1188
257,100239,1764593138329,1091
258,100599,1764593138689,1099
259,100959,1764593139049,997
260,101319,1764593139409,1063
261,101679,1764593139769,962
262,102039,1764593140129,1008
263,102399,1764593140489,968
264,102759,1764593140849,970
265,103119,1764593141209,911
266,103479,1764593141569,874
267,103839,1764593141929,788
268,104199,1764593142289,907
269,104559,1764593142649,909
270,104919,1764593143009,950
271,105279,1764593143369,1063
272,105639,1764593143729,921
273,105999,1764593144089,931
274,106359,1764593144449,931
275,106719,1764593144809,899
276,107079,1764593145169,930
277,107439,1764593145529,943
278,107799,1764593145889,1127
