t_press_ms,t_vis_ms,dt_ms
1764593072089,1764593071948,141
1764593073169,1764593072806,363
1764593073889,1764593073753,136
1764593074969,1764593074677,292
1764593076049,1764593075712,337
1764593077129,1764593076707,422
1764593077849,1764593077693,156
1764593078929,1764593078665,264
1764593080009,1764593079671,338
1764593081089,1764593080739,350
1764593082169,1764593081775,394
1764593083249,1764593082830,419
1764593083969,1764593083900,69
1764593085049,1764593084963,86
1764593086129,1764593085984,145
1764593087209,1764593087023,186
1764593088289,1764593088093,196
1764593089369,1764593089149,220
1764593090449,1764593090176,273
1764593091529,1764593091236,293
1764593092609,1764593092449,160
1764593093689,1764593093431,258
1764593094769,1764593094484,285
1764593095849,1764593095514,335
1764593096929,1764593096616,313
1764593098009,1764593097713,296
1764593099089,1764593098797,292
1764593100169,1764593099945,224
1764593101249,1764593101080,169
1764593102329,1764593102203,126
1764593103769,1764593103361,408
1764593104849,1764593104447,402
1764593105929,1764593105625,304
1764593107009,1764593106713,296
1764593108089,1764593107984,105
1764593109529,1764593109188,341
1764593110609,1764593110327,282
1764593111689,1764593111468,221
1764593112769,1764593112630,139
1764593114209,1764593113837,372
1764593115289,1764593115067,222
1764593116369,1764593116198,171
1764593117809,1764593117324,485
1764593118889,1764593118514,375
1764593119969,1764593119706,263
1764593121049,1764593120888,161
1764593122489,1764593122120,369
1764593123569,1764593123418,151
1764593125009,1764593124576,433
1764593126089,1764593125721,368
1764593127169,1764593126934,235
1764593128249,1764593128099,150
1764593129689,1764593129242,447
1764593130769,1764593130465,304
1764593131849,1764593131660,189
1764593133289,1764593132864,425
1764593134369,1764593134015,354
