idx,host_ms,val_raw,val_filt
0,1767153403547,48517,48517
1,1767153403566,48537,48527
2,1767153403586,48519,48524
3,1767153403606,48538,48527
4,1767153403626,48441,48510
5,1767153403646,48438,48494
6,1767153403666,48390,48465
7,1767153403686,48437,48448
8,1767153403706,48404,48422
9,1767153403725,48325,48398
10,1767153403745,48347,48380
11,1767153403765,48272,48357
12,1767153403785,48385,48346
13,1767153403804,48376,48341
14,1767153403824,48422,48360
15,1767153403844,48467,48384
16,1767153403864,48435,48417
17,1767153403923,48557,48451
18,1767153403943,48525,48481
19,1767153403963,48566,48510
20,1767153403983,48586,48533
21,1767153404002,48736,48594
22,1767153404022,48793,48641
23,1767153404042,48735,48683
24,1767153404061,48679,48705
25,1767153404081,48634,48715
26,1767153404101,48719,48712
27,1767153404121,48712,48695
28,1767153404141,48623,48673
29,1767153404200,48530,48643
30,1767153404220,48525,48621
31,1767153404240,48501,48578
32,1767153404260,48475,48530
33,1767153404279,48388,48483
34,1767153404299,48319,48441
