pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
79,47,1764594596247,1764594601085,4838
84,76,1764594598047,1764594602201,4154
93,101,1764594601287,1764594603119,1832
96,124,1764594602367,1764594603987,1620
99,150,1764594603447,1764594604875,1428
101,180,1764594604167,1764594605939,1772
104,207,1764594605247,1764594606863,1616
107,234,1764594606327,1764594607884,1557
109,261,1764594607047,1764594608881,1834
112,291,1764594608127,1764594609913,1786
115,322,1764594609207,1764594611030,1823
118,353,1764594610287,1764594612178,1891
121,379,1764594611367,1764594613139,1772
124,411,1764594612447,1764594614268,1821
127,443,1764594613527,1764594615319,1792
130,476,1764594614607,1764594616396,1789
133,508,1764594615687,1764594617541,1854
136,543,1764594616767,1764594618718,1951
139,577,1764594617847,1764594619910,2063
142,611,1764594618927,1764594621152,2225
146,645,1764594620367,1764594622301,1934
149,677,1764594621447,1764594623446,1999
152,711,1764594622527,1764594624552,2025
155,744,1764594623607,1764594625741,2134
159,776,1764594625047,1764594626860,1813
162,809,1764594626127,1764594628006,1879
165,843,1764594627207,1764594629123,1916
168,877,1764594628287,1764594630264,1977
171,909,1764594629367,1764594631477,2110
174,942,1764594630447,1764594632631,2184
178,979,1764594631887,1764594633860,1973
181,1014,1764594632967,1764594635095,2128
184,1048,1764594634047,1764594636343,2296
188,1081,1764594635487,1764594637490,2003
191,1114,1764594636567,1764594638618,2051
194,1149,1764594637647,1764594639734,2087
198,1182,1764594639087,1764594640909,1822
201,1217,1764594640167,1764594642138,1971
204,1250,1764594641247,1764594643294,2047
207,1283,1764594642327,1764594644449,2122
210,1320,1764594643407,1764594645709,2302
214,1354,1764594644847,1764594646875,2028
217,1389,1764594645927,1764594648049,2122
220,1425,1764594647007,1764594649266,2259
224,1458,1764594648447,1764594650426,1979
227,1492,1764594649527,1764594651580,2053
230,1525,1764594650607,1764594652766,2159
234,1559,1764594652047,1764594654073,2026
237,1592,1764594653127,1764594655253,2126
240,1626,1764594654207,1764594656394,2187
244,1663,1764594655647,1764594657717,2070
247,1696,1764594656727,1764594658925,2198
251,1726,1764594658167,1764594660264,2097
254,1755,1764594659247,1764594661475,2228
257,1786,1764594660327,1764594662709,2382
261,1816,1764594661767,1764594664008,2241
264,1845,1764594662847,1764594665204,2357
268,1876,1764594664287,1764594666373,2086
271,1910,1764594665367,1764594667626,2259
275,1941,1764594666807,1764594668873,2066
278,1949,1764594667887,1764594669146,1259
