t_press_ms,t_vis_ms,dt_ms
1764594601287,1764594601085,202
1764594602367,1764594602201,166
1764594603447,1764594603119,328
1764594604167,1764594603987,180
1764594605247,1764594604875,372
1764594606327,1764594605939,388
1764594607047,1764594606863,184
1764594608127,1764594607884,243
1764594609207,1764594608881,326
1764594610287,1764594609913,374
1764594611367,1764594611030,337
1764594612447,1764594612178,269
1764594613527,1764594613139,388
1764594614607,1764594614268,339
1764594615687,1764594615319,368
1764594616767,1764594616396,371
1764594617847,1764594617541,306
1764594618927,1764594618718,209
1764594620367,1764594619910,457
1764594621447,1764594621152,295
1764594622527,1764594622301,226
1764594623607,1764594623446,161
1764594625047,1764594624552,495
1764594626127,1764594625741,386
1764594627207,1764594626860,347
1764594628287,1764594628006,281
1764594629367,1764594629123,244
1764594630447,1764594630264,183
1764594631887,1764594631477,410
1764594632967,1764594632631,336
1764594634047,1764594633860,187
1764594635487,1764594635095,392
1764594636567,1764594636343,224
1764594637647,1764594637490,157
1764594639087,1764594638618,469
1764594640167,1764594639734,433
1764594641247,1764594640909,338
1764594642327,1764594642138,189
1764594643407,1764594643294,113
1764594644847,1764594644449,398
1764594645927,1764594645709,218
1764594647007,1764594646875,132
1764594648447,1764594648049,398
1764594649527,1764594649266,261
1764594650607,1764594650426,181
1764594652047,1764594651580,467
1764594653127,1764594652766,361
1764594654207,1764594654073,134
1764594655647,1764594655253,394
1764594656727,1764594656394,333
1764594658167,1764594657717,450
1764594659247,1764594658925,322
1764594660327,1764594660264,63
1764594661767,1764594661475,292
1764594662847,1764594662709,138
1764594664287,1764594664008,279
1764594665367,1764594665204,163
1764594666807,1764594666373,434
1764594667887,1764594667626,261
