frame_idx,timestamp,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,beta,gamma_boost,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1762180438880,-0.018256870091724314,-0.018256870091724314,-0.018256870091724314,-0.018407489269981037,0.12,1.015,0.0,0.0,1.0,0.0,0.9995653706741476
1,1762180438920,0.9307136440834125,0.8358165926658989,0.7376011911091762,0.7680561222968986,0.20169346383358505,1.021148757427297,0.1553402841308293,0.9489705141751368,1.0,0.0,0.9995653706741476
2,1762180438953,-0.224153956889649,-0.11815690193409424,-0.01839731903857844,-0.048254287418923535,0.25,1.0407557433233177,-0.06126668676705832,0.9617551479988252,1.0,0.0,0.9995653706741476
3,1762180438977,-0.1910654258078623,-0.18377457342048548,-0.16488773540653925,-0.1695683678179787,0.1923858907755881,1.0204445717408699,-0.11164237643444008,0.17266810676928385,1.0,0.0,0.9995653706741476
4,1762180439015,0.4160250793691611,0.35604511409019646,0.2955035503265515,0.31502835570250487,0.23176981894974666,1.0233937297652138,0.07852388559289575,0.5809128147757003,1.0,0.0,0.9995653706741476
5,1762180439051,-0.31631816289024217,-0.24908183519219831,-0.18606478499567292,-0.2071773426923589,0.25,1.0266348345929752,-0.1484396239209204,0.6118217132167937,1.0,0.0,0.9995653706741476
6,1762180439083,0.48221850623289625,0.40908847209038685,0.340113560317996,0.3629534835500232,0.2309725472387249,1.0233412545625509,0.13081085461822625,0.6682832912285692,1.0,0.0,0.9995653706741476
7,1762180439117,-0.21240469726249245,-0.15025538032720454,-0.09349823197630147,-0.11192392359873726,0.25,1.0306321429965675,-0.12350627778800713,0.5525182575804884,1.0,0.0,0.9995653706741476
8,1762180439148,0.3973836031191453,0.3426197047745103,0.2922052730947096,0.3087593971651985,0.21892122286979523,1.0224363651938504,0.12338199011259465,0.49088183509544675,1.0,0.0,0.9995653706741476
9,1762180439183,0.2561660596511571,0.2648114241634924,0.268413244907904,0.26985662428068397,0.13133835251500822,1.015864978964729,0.10430375788200352,0.03603921344355254,1.0,0.0,0.9995653706741476
10,1762180439217,0.7778286644890087,0.726526940456457,0.6746386149492751,0.6916806045830135,0.17271270480373999,1.0190093103171418,0.39898183472463594,0.5094154195811047,1.0,0.0,0.9995653706741476
11,1762180439242,-0.38168323838641693,-0.2708622205021296,-0.16160457424775976,-0.1956371623838891,0.25,1.0316574310020683,-0.26131214598968083,1.056321853335692,1.0,0.0,0.9995653706741476
12,1762180439287,0.287844251120086,0.23197360395786445,0.1862000014991581,0.20272314033215716,0.24493894815206158,1.0243747844049085,0.03116638217051243,0.44944882536784575,1.0,0.0,0.9995653706741476
13,1762180439315,0.6046975754099521,0.5674251782647434,0.524227292942024,0.5376901714291753,0.17562319018927142,1.0192167288558973,0.3213542264432008,0.41849757391079395,1.0,0.0,0.9995653706741476
14,1762180439344,-0.21757802528966383,-0.1390777049342231,-0.06259555391021987,-0.08588429588158389,0.25,1.035499386019488,-0.21611733378553677,0.7418053182316878,1.0,0.0,0.9995653706741476
15,1762180439385,0.2772583729035313,0.23562476511975583,0.20101087810378593,0.2128335321741036,0.21809072083132106,1.0223620160774674,0.03722867941695995,0.33985392681375115,1.0,0.0,0.9995653706741476
16,1762180439422,0.09286539472177208,0.10714133176157045,0.1179076272868719,0.11633304270077328,0.21319782993679498,1.021996070539069,-0.0445235272106938,0.10814548338201385,1.0,0.0,0.9995653706741476
17,1762180439447,0.2520231126533692,0.2375349345641893,0.2238404290770796,0.22864837070723332,0.16262265686922797,1.0182055167875115,0.06298230228218962,0.13411548536649728,1.0,0.0,0.9995653706741476
18,1762180439484,0.3038614245461578,0.2972287755479609,0.2891761374043202,0.29297637545686267,0.14117019705770717,1.0166057033563145,0.12813269276014083,0.08002099546907818,1.0,0.0,0.9995653706741476
19,1762180439517,0.9273573928527981,0.8643445311223144,0.7999188495236035,0.8209371764660067,0.17558474318564454,1.0192617902432597,0.6638178881166084,0.6381812554484778,1.0,0.0,0.9995653706741476
20,1762180439550,-0.13632133824857134,-0.0362547513114828,0.06051829852681134,0.03376382917685278,0.25,1.05,-0.16103559478301777,0.9362401877721749,1.0,0.0,0.9995653706741476
21,1762180439585,0.16257098377752596,0.14268841026862508,0.1328266901729029,0.13703673898519356,0.1702791273881808,1.0187814435349212,-0.07506414862722277,0.10205268525071462,1.0,0.0,0.9995653706741476
22,1762180439611,0.270945169125937,0.25811949324020583,0.24373358363684236,0.24860625328864047,0.16082343467350196,1.018069169075825,0.05293910937455998,0.1381184789530341,1.0,0.0,0.9995653706741476
23,1762180439645,0.4355954755076457,0.4178478772809017,0.39846018180469867,0.40556717072202775,0.15541957530037476,1.0176884837707862,0.2286830232721798,0.19186189187080335,1.0,0.0,0.9995653706741476
24,1762180439683,0.5091098741381523,0.4999836744524273,0.48942765804633176,0.49534847413981126,0.13764792704122628,1.0163692345487276,0.32600014739796573,0.11064969233345368,1.0,0.0,0.9995653706741476
25,1762180439714,0.5768612204560789,0.5691734658557137,0.5614349802937231,0.5675139211325587,0.13244415651202712,1.0159890941811376,0.39844601954041853,0.08743356240974715,1.0,0.0,0.9995653706741476
26,1762180439749,0.7512098432262472,0.7330062054891938,0.7152324770145359,0.7246037083369622,0.14066376697578017,1.0166291875756415,0.5671789461276581,0.1897748629325241,1.0,0.0,0.9995653706741476
