idx,host_ms,val_raw,val_filt
0,1767151241105,49834,49834
1,1767151241125,49846,49840
2,1767151241152,49860,49846
3,1767151241164,49809,49837
4,1767151241184,49837,49837
5,1767151241204,49849,49840
6,1767151241224,49865,49844
7,1767151241244,49865,49845
8,1767151241264,49751,49833
9,1767151241283,49780,49822
10,1767151241303,49771,49806
11,1767151241323,49833,49800
12,1767151241343,49735,49774
13,1767151241363,49812,49786
14,1767151241383,49772,49784
15,1767151241402,49739,49778
16,1767151241422,49800,49771
17,1767151241442,49780,49780
18,1767151241462,49789,49776
19,1767151241482,49803,49782
20,1767151241501,49799,49794
21,1767151241521,49717,49777
22,1767151241541,49781,49777
23,1767151241561,49698,49759
24,1767151241580,49760,49751
25,1767151241600,49682,49727
26,1767151241620,49732,49730
27,1767151241640,49684,49711
28,1767151241660,49698,49711
29,1767151241680,49725,49704
30,1767151241699,49585,49684
31,1767151241719,49675,49673
32,1767151241739,49640,49664
33,1767151241759,49647,49654
34,1767151241779,49640,49637
35,1767151241799,49612,49642
36,1767151241818,49624,49632
37,1767151241838,49592,49623
38,1767151241858,49645,49622
39,1767151241878,49642,49623
40,1767151241897,49614,49623
41,1767151241917,49613,49621
42,1767151241937,49537,49610
43,1767151241957,49585,49598
44,1767151241977,49493,49568
45,1767151241997,49485,49542
46,1767151242056,49420,49504
47,1767151242076,49426,49481
48,1767151242096,49395,49443
49,1767151242116,49393,49423
50,1767151242135,49368,49400
51,1767151242155,49394,49395
52,1767151242175,49420,49394
53,1767151242195,49431,49401
54,1767151242214,49441,49410
55,1767151242234,49412,49419
56,1767151242254,49343,49409
57,1767151242274,49481,49421
58,1767151242294,49434,49422
59,1767151242314,49461,49426
60,1767151242334,49416,49427
61,1767151242353,49388,49436
62,1767151242413,49472,49434
63,1767151242433,49401,49427
64,1767151242452,49417,49418
65,1767151242512,49503,49436
66,1767151242532,49440,49446
67,1767151242551,49380,49428
68,1767151242571,49398,49427
69,1767151242591,49500,49444
70,1767151242611,49493,49442
71,1767151242631,49501,49454
72,1767151242650,49459,49470
73,1767151242670,49476,49485
74,1767151242690,49539,49493
75,1767151242710,49591,49513
