idx,host_ms,val_raw,val_filt
0,1767151928306,48390,48390
1,1767151928326,48341,48365
2,1767151928346,48368,48366
3,1767151928365,48424,48380
4,1767151928385,48556,48415
5,1767151928405,48577,48453
6,1767151928425,48482,48481
7,1767151928485,48551,48518
8,1767151928504,48498,48532
9,1767151928524,48410,48503
10,1767151928544,48538,48495
11,1767151928603,48685,48536
12,1767151928623,48628,48551
13,1767151928643,48685,48589
14,1767151928663,48690,48645
15,1767151928683,48670,48671
16,1767151928703,48661,48666
17,1767151928722,48703,48681
18,1767151928742,48620,48668
19,1767151928762,48706,48672
