t_press_ms,t_vis_ms,dt_ms
1764595928414,1764595928097,317
1764595929134,1764595928975,159
1764595930214,1764595929919,295
1764595930934,1764595930829,105
1764595932014,1764595931669,345
1764595932734,1764595932597,137
1764595933814,1764595933579,235
1764595934534,1764595934501,33
1764595935614,1764595935402,212
1764595936694,1764595936442,252
1764595937774,1764595937407,367
1764595938494,1764595938452,42
1764595939574,1764595939504,70
1764595940654,1764595940408,246
1764595941734,1764595941535,199
1764595942814,1764595942490,324
1764595943534,1764595943470,64
1764595944614,1764595944459,155
1764595945694,1764595945485,209
1764595946774,1764595946461,313
1764595947494,1764595947472,22
1764595948574,1764595948469,105
1764595949654,1764595949486,168
1764595950734,1764595950445,289
1764595951814,1764595951491,323
1764595952534,1764595952484,50
1764595953614,1764595953559,55
1764595954694,1764595954608,86
1764595955774,1764595955618,156
1764595956854,1764595956640,214
1764595957934,1764595957656,278
1764595959014,1764595958702,312
1764595959734,1764595959648,86
1764595960814,1764595960694,120
1764595961894,1764595961665,229
1764595962974,1764595962792,182
1764595964054,1764595963891,163
1764595965134,1764595964878,256
1764595966214,1764595966014,200
1764595967294,1764595967108,186
1764595968374,1764595968209,165
1764595969454,1764595969297,157
1764595970534,1764595970417,117
1764595971614,1764595971517,97
1764595973054,1764595972658,396
1764595974134,1764595973847,287
1764595975214,1764595974937,277
1764595976294,1764595976164,130
1764595977374,1764595977304,70
1764595978814,1764595978417,397
1764595979894,1764595979630,264
