pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
61,45,1764595928414,1764595928097,-317
63,70,1764595929134,1764595928975,-159
66,96,1764595930214,1764595929919,-295
68,121,1764595930934,1764595930829,-105
71,146,1764595932014,1764595931669,-345
73,173,1764595932734,1764595932597,-137
76,201,1764595933814,1764595933579,-235
78,227,1764595934534,1764595934501,-33
81,256,1764595935614,1764595935402,-212
84,287,1764595936694,1764595936442,-252
87,315,1764595937774,1764595937407,-367
89,345,1764595938494,1764595938452,-42
92,373,1764595939574,1764595939504,-70
95,399,1764595940654,1764595940408,-246
98,431,1764595941734,1764595941535,-199
101,459,1764595942814,1764595942490,-324
103,485,1764595943534,1764595943470,-64
106,514,1764595944614,1764595944459,-155
109,542,1764595945694,1764595945485,-209
112,569,1764595946774,1764595946461,-313
114,597,1764595947494,1764595947472,-22
117,624,1764595948574,1764595948469,-105
120,653,1764595949654,1764595949486,-168
123,682,1764595950734,1764595950445,-289
126,711,1764595951814,1764595951491,-323
128,739,1764595952534,1764595952484,-50
131,770,1764595953614,1764595953559,-55
134,798,1764595954694,1764595954608,-86
137,827,1764595955774,1764595955618,-156
140,858,1764595956854,1764595956640,-214
143,886,1764595957934,1764595957656,-278
146,915,1764595959014,1764595958702,-312
148,943,1764595959734,1764595959648,-86
151,972,1764595960814,1764595960694,-120
154,1001,1764595961894,1764595961665,-229
157,1033,1764595962974,1764595962792,-182
160,1062,1764595964054,1764595963891,-163
163,1091,1764595965134,1764595964878,-256
166,1121,1764595966214,1764595966014,-200
169,1152,1764595967294,1764595967108,-186
172,1182,1764595968374,1764595968209,-165
175,1212,1764595969454,1764595969297,-157
178,1244,1764595970534,1764595970417,-117
181,1276,1764595971614,1764595971517,-97
185,1309,1764595973054,1764595972658,-396
188,1341,1764595974134,1764595973847,-287
191,1371,1764595975214,1764595974937,-277
194,1406,1764595976294,1764595976164,-130
197,1437,1764595977374,1764595977304,-70
201,1470,1764595978814,1764595978417,-397
204,1503,1764595979894,1764595979630,-264
