idx,mcu_ms,host_ms,val
0,861897,1764595906454,627
1,862257,1764595906814,620
2,862617,1764595907174,648
3,862977,1764595907534,675
4,863337,1764595907894,626
5,863697,1764595908254,644
6,864057,1764595908614,632
7,864417,1764595908974,607
8,864777,1764595909334,677
9,865137,1764595909694,623
10,865497,1764595910054,581
11,865857,1764595910414,608
12,866217,1764595910774,586
13,866577,1764595911134,671
14,866937,1764595911494,722
15,867297,1764595911854,674
16,867657,1764595912214,668
17,868017,1764595912574,611
18,868377,1764595912934,670
19,868737,1764595913294,642
20,869097,1764595913654,632
21,869457,1764595914014,590
22,869817,1764595914374,632
23,870177,1764595914734,660
24,870537,1764595915094,660
25,870897,1764595915454,642
26,871257,1764595915814,681
27,871617,1764595916174,634
28,871977,1764595916534,685
29,872337,1764595916894,664
30,872697,1764595917254,698
31,873057,1764595917614,630
32,873417,1764595917974,692
33,873777,1764595918334,663
34,874137,1764595918694,699
35,874497,1764595919054,669
36,874857,1764595919414,695
37,875217,1764595919774,725
38,875577,1764595920134,753
39,875937,1764595920494,695
40,876297,1764595920854,754
41,876657,1764595921214,730
42,877017,1764595921574,731
43,877377,1764595921934,742
44,877737,1764595922294,1068
45,878097,1764595922654,6819
46,878457,1764595923014,9782
47,878817,1764595923374,11173
48,879177,1764595923734,11331
49,879537,1764595924094,10607
50,879897,1764595924454,11136
51,880257,1764595924814,9512
52,880617,1764595925174,10776
53,880977,1764595925534,11050
54,881337,1764595925894,11456
55,881697,1764595926254,11405
56,882057,1764595926614,11552
57,882417,1764595926974,11319
58,882777,1764595927334,11617
59,883137,1764595927694,9146
60,883497,1764595928054,49571
61,883857,1764595928414,53947
62,884217,1764595928774,13245
63,884577,1764595929134,74500
64,884937,1764595929494,12391
65,885297,1764595929854,33842
66,885657,1764595930214,62577
67,886017,1764595930574,11538
68,886377,1764595930934,73084
69,886737,1764595931294,10434
70,887097,1764595931654,40578
71,887457,1764595932014,59569
72,887817,1764595932374,14501
73,888177,1764595932734,76210
74,888537,1764595933094,8217
75,888897,1764595933454,24996
76,889257,1764595933814,72293
77,889617,1764595934174,1024
78,889977,1764595934534,61095
79,890337,1764595934894,46964
80,890697,1764595935254,9644
81,891057,1764595935614,74576
82,891417,1764595935974,11992
83,891777,1764595936334,23306
84,892137,1764595936694,80230
85,892497,1764595937054,2970
86,892857,1764595937414,40726
87,893217,1764595937774,63880
88,893577,1764595938134,2440
89,893937,1764595938494,61515
90,894297,1764595938854,48682
91,894657,1764595939214,2605
92,895017,1764595939574,73062
93,895377,1764595939934,15460
94,895737,1764595940294,13005
95,896097,1764595940654,74259
96,896457,1764595941014,3003
97,896817,1764595941374,28059
98,897177,1764595941734,72232
99,897537,1764595942094,1971
100,897897,1764595942454,43267
101,898257,1764595942814,61557
102,898617,1764595943174,1081
103,898977,1764595943534,66702
104,899337,1764595943894,41112
105,899697,1764595944254,1530
106,900057,1764595944614,70269
107,900417,1764595944974,9238
108,900777,1764595945334,16336
109,901137,1764595945694,70377
110,901497,1764595946054,1796
111,901857,1764595946414,40575
112,902217,1764595946774,58834
113,902577,1764595947134,699
114,902937,1764595947494,65588
115,903297,1764595947854,52380
116,903657,1764595948214,700
117,904017,1764595948574,73713
118,904377,1764595948934,14607
119,904737,1764595949294,11697
120,905097,1764595949654,80167
121,905457,1764595950014,2732
122,905817,1764595950374,26256
123,906177,1764595950734,68755
124,906537,1764595951094,1008
125,906897,1764595951454,40210
126,907257,1764595951814,63436
127,907617,1764595952174,750
128,907977,1764595952534,62400
129,908337,1764595952894,55045
130,908697,1764595953254,634
131,909057,1764595953614,67021
