time_ms,press_sum_norm,area_ratio,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,data201,data202,data203,data204,data205,data206,data207,data208,data209,data210,data211,data212,data213,data214,data215,data216,data217,data218,data219,data220,data221,data222,data223,data224,data225,data226,data227,data228,data229,data230,data231,data232,data233,data234,data235,data236,data237,data238,data239,data240,data241,data242,data243,data244,data245,data246,data247,data248,data249,data250,data251,data252,data253,data254,data255
1760759009469,0.000536,0.000000,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,8,5,1,1,1,0,1,2,1,1,0,1,2,1,1,1,8,33,1,1,2,1,1,2,1,1,1,0,1,1,1,1,64,38,1,1,32,1,1,1,0,1,1,1,2,1,0,1,13,9,1,0,5,0,1,1,1,1,1,1,1,1,1,1,5,5,1,1,2,0,1,1,0,1,1,1,1,1,0,1,3,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,0,1,0,1,2,1,0,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,0,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,0,3,0,4,2,0,1,1,1,1,1,1,1,2,1,1,0,29,1,3,3,18,1,1,1,1,1,1,1,1,1,0,1,9,0,1,1,3,1,1,1,1,1,0,1,21,1,1,0,6,1,1,1,1,1,0,1,1,0,1,1,12,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1
1760759009773,0.000538,0.000000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,8,33,1,0,2,0,1,2,1,1,1,1,1,1,1,1,65,40,1,0,37,0,1,2,0,1,1,1,1,1,0,1,10,10,1,1,5,1,0,1,1,1,1,1,1,1,1,1,5,5,0,0,2,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,0,1,1,0,5,3,1,1,2,1,1,1,1,1,2,1,1,1,3,0,3,2,0,0,1,1,1,1,1,1,2,1,1,1,36,0,2,2,15,1,1,1,1,1,1,1,1,1,0,0,7,0,1,1,3,1,1,0,1,1,0,1,21,1,1,1,7,0,1,1,2,1,0,1,1,1,1,0,11,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,5,1,1,0,1,0,1,1,1
1760759010199,0.000469,0.000000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,2,5,1,0,1,0,1,2,1,1,1,1,1,1,1,1,6,32,0,1,3,0,1,2,0,1,1,1,1,1,1,1,65,33,1,1,40,1,0,1,1,1,1,1,2,1,1,1,10,8,1,0,5,0,1,1,1,1,1,1,1,1,1,1,3,4,1,1,2,0,1,1,1,1,1,1,1,1,0,2,2,3,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,2,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,1,4,2,0,1,1,1,1,1,1,1,1,1,1,0,2,1,3,2,1,1,1,1,1,0,1,1,1,1,0,0,17,0,1,2,14,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,5,1,1,1,1,0,0,1,2,1,1,0,3,1,1,1,3,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1760759010493,0.000491,0.000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,3,6,1,0,1,0,1,2,1,1,1,0,1,1,1,1,5,35,1,1,2,1,0,2,1,1,2,1,1,1,1,1,69,38,1,1,41,1,1,2,1,1,0,1,1,0,1,1,10,9,0,0,6,0,0,1,0,1,1,1,1,0,0,1,5,5,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1,1,1,1,0,1,1,2,0,3,2,0,2,1,1,1,1,1,1,1,0,1,1,24,1,2,2,14,1,1,1,1,0,0,1,1,1,1,1,7,0,1,1,5,1,1,1,1,1,0,1,6,1,1,0,4,1,1,1,2,1,1,1,1,1,1,1,3,1,1,0,2,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1
1760759010902,0.000493,0.000000,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,3,6,1,0,1,0,1,2,1,1,1,1,1,1,1,1,6,33,1,1,3,1,0,2,1,1,1,1,1,1,1,1,71,37,1,0,39,0,1,2,1,1,0,1,1,1,0,0,9,9,1,0,5,0,1,1,1,1,1,1,1,1,1,0,5,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,27,1,2,2,13,1,1,1,1,1,1,0,1,1,1,0,8,0,1,1,2,1,1,1,1,1,0,1,6,1,1,1,4,0,1,1,1,1,0,1,1,1,1,1,4,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1760759011207,0.000483,0.000000,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,5,7,1,1,1,0,1,2,1,1,0,1,1,1,0,1,5,35,1,1,2,0,1,2,0,1,1,1,1,1,1,1,59,42,1,1,35,0,1,2,0,1,1,1,1,1,1,0,11,10,1,1,5,0,1,1,0,1,0,1,1,0,0,1,5,3,1,0,2,0,1,1,0,1,1,1,1,0,1,1,1,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,4,2,1,1,1,0,1,1,1,1,1,1,1,0,3,0,4,1,0,1,2,1,1,1,1,1,1,1,1,0,29,0,1,2,13,1,1,1,1,1,1,1,1,0,1,1,10,1,1,1,1,1,1,1,1,1,0,1,9,1,1,0,6,0,1,0,0,1,0,1,1,1,0,1,5,1,0,0,3,1,1,2,0,1,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0
1760759011616,0.000501,0.000000,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,4,6,1,0,1,0,1,2,1,1,1,1,1,1,1,1,6,34,1,0,2,1,1,2,0,1,1,1,1,1,1,1,70,54,1,1,31,0,1,2,1,1,1,1,1,1,1,1,10,10,0,1,3,0,0,1,1,1,1,1,1,1,0,1,4,4,1,1,1,0,0,1,1,1,1,1,2,1,1,1,2,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,4,2,0,0,1,1,1,1,1,1,1,1,1,0,3,0,3,1,0,1,1,1,1,1,1,1,1,1,1,1,30,0,2,2,15,1,1,1,1,1,1,1,2,0,1,1,9,0,1,1,2,1,0,1,1,1,1,0,7,1,0,0,6,0,0,1,0,0,1,1,1,1,1,1,4,1,0,0,3,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,0,1,0,0
1760759011923,0.000539,0.000000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,4,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,30,1,1,2,1,1,2,1,1,1,1,1,0,1,1,74,53,1,1,26,0,1,2,1,1,1,1,1,1,1,0,9,10,1,1,2,0,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,1,3,3,1,0,1,0,1,1,0,0,1,1,1,1,1,1,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,0,2,1,3,1,1,1,1,1,1,1,2,1,2,1,0,0,32,0,2,2,38,1,1,1,1,1,1,1,1,1,1,1,6,0,1,1,10,0,1,1,1,1,1,1,6,1,1,0,3,1,1,1,4,0,1,1,1,1,1,1,5,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1760759012334,0.000548,0.000000,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,2,1,1,1,1,1,6,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,31,1,1,2,1,1,2,1,1,1,1,1,1,1,1,68,53,1,1,27,1,1,1,1,1,1,1,1,1,1,0,10,12,1,1,2,1,1,1,0,1,1,1,1,1,1,1,5,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5,2,0,1,1,1,1,1,2,1,1,1,0,0,3,0,3,1,1,1,1,1,1,1,1,1,2,1,1,0,34,1,2,2,30,1,1,0,2,1,1,1,1,1,0,1,6,0,1,1,8,1,0,1,1,1,1,1,13,2,1,0,4,1,1,1,2,1,1,1,1,1,1,1,7,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,0
1760759012743,0.000548,0.000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,1,1,1,1,2,0,1,1,1,1,1,1,1,8,32,1,0,2,1,1,2,0,0,1,1,1,1,1,1,66,53,1,0,23,1,1,1,1,1,1,1,2,1,1,1,11,10,1,1,2,1,1,1,0,1,1,1,1,1,1,1,5,4,0,0,1,0,1,1,0,1,1,1,2,1,1,1,2,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,4,2,0,0,1,1,1,1,2,1,1,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,33,0,2,1,34,1,1,1,1,1,1,1,0,1,0,0,6,0,0,1,9,1,1,1,2,1,1,1,16,1,1,1,3,1,1,1,5,1,1,1,2,1,1,1,7,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,0
