pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
39,44,1764595067333,1764595067234,-99
42,72,1764595068413,1764595068199,-214
45,98,1764595069493,1764595069114,-379
47,124,1764595070213,1764595070107,-106
50,150,1764595071293,1764595071038,-255
53,178,1764595072373,1764595072057,-316
56,208,1764595073453,1764595073183,-270
59,232,1764595074533,1764595074077,-456
62,264,1764595075613,1764595075189,-424
64,294,1764595076333,1764595076255,-78
67,324,1764595077413,1764595077300,-113
70,356,1764595078493,1764595078404,-89
73,385,1764595079573,1764595079427,-146
76,416,1764595080653,1764595080490,-163
79,446,1764595081733,1764595081537,-196
82,477,1764595082813,1764595082616,-197
85,509,1764595083893,1764595083733,-160
88,542,1764595084973,1764595084844,-129
91,574,1764595086053,1764595085970,-83
95,605,1764595087493,1764595087091,-402
98,635,1764595088573,1764595088219,-354
101,665,1764595089653,1764595089387,-266
104,698,1764595090733,1764595090577,-156
107,731,1764595091813,1764595091669,-144
110,762,1764595092893,1764595092793,-100
113,794,1764595093973,1764595093893,-80
117,825,1764595095413,1764595094976,-437
120,857,1764595096493,1764595096163,-330
123,890,1764595097573,1764595097269,-304
126,924,1764595098653,1764595098449,-204
129,955,1764595099733,1764595099582,-151
132,986,1764595100813,1764595100765,-48
136,1016,1764595102253,1764595101844,-409
139,1049,1764595103333,1764595102998,-335
142,1082,1764595104413,1764595104207,-206
145,1113,1764595105493,1764595105310,-183
148,1146,1764595106573,1764595106549,-24
152,1175,1764595108013,1764595107665,-348
155,1206,1764595109093,1764595108751,-342
158,1239,1764595110173,1764595109850,-323
161,1273,1764595111253,1764595110958,-295
164,1305,1764595112333,1764595112074,-259
167,1333,1764595113413,1764595113109,-304
170,1364,1764595114493,1764595114126,-367
173,1398,1764595115573,1764595115317,-256
176,1430,1764595116653,1764595116397,-256
180,1465,1764595118093,1764595117658,-435
183,1499,1764595119173,1764595118862,-311
186,1530,1764595120253,1764595119962,-291
189,1563,1764595121333,1764595121119,-214
