t_press_ms,t_vis_ms,dt_ms
1764595067333,1764595067234,99
1764595068413,1764595068199,214
1764595069493,1764595069114,379
1764595070213,1764595070107,106
1764595071293,1764595071038,255
1764595072373,1764595072057,316
1764595073453,1764595073183,270
1764595074533,1764595074077,456
1764595075613,1764595075189,424
1764595076333,1764595076255,78
1764595077413,1764595077300,113
1764595078493,1764595078404,89
1764595079573,1764595079427,146
1764595080653,1764595080490,163
1764595081733,1764595081537,196
1764595082813,1764595082616,197
1764595083893,1764595083733,160
1764595084973,1764595084844,129
1764595086053,1764595085970,83
1764595087493,1764595087091,402
1764595088573,1764595088219,354
1764595089653,1764595089387,266
1764595090733,1764595090577,156
1764595091813,1764595091669,144
1764595092893,1764595092793,100
1764595093973,1764595093893,80
1764595095413,1764595094976,437
1764595096493,1764595096163,330
1764595097573,1764595097269,304
1764595098653,1764595098449,204
1764595099733,1764595099582,151
1764595100813,1764595100765,48
1764595102253,1764595101844,409
1764595103333,1764595102998,335
1764595104413,1764595104207,206
1764595105493,1764595105310,183
1764595106573,1764595106549,24
1764595108013,1764595107665,348
1764595109093,1764595108751,342
1764595110173,1764595109850,323
1764595111253,1764595110958,295
1764595112333,1764595112074,259
1764595113413,1764595113109,304
1764595114493,1764595114126,367
1764595115573,1764595115317,256
1764595116653,1764595116397,256
1764595118093,1764595117658,435
1764595119173,1764595118862,311
1764595120253,1764595119962,291
1764595121333,1764595121119,214
