idx,host_ms,val_raw,val_filt
0,1767152723127,48351,48351
1,1767152723147,48410,48380
2,1767152723167,48281,48347
3,1767152723187,48489,48382
4,1767152723207,48434,48393
5,1767152723227,48420,48406
6,1767152723246,48430,48410
7,1767152723306,48457,48446
8,1767152723326,48389,48426
9,1767152723345,48526,48444
10,1767152723365,48594,48479
11,1767152723385,48752,48543
12,1767152723405,48749,48602
13,1767152723425,48655,48655
14,1767152723484,48515,48653
15,1767152723504,48525,48639
16,1767152723524,48480,48584
17,1767152723543,48619,48558
18,1767152723563,48594,48546
19,1767152723583,48616,48566
20,1767152723603,48634,48588
21,1767152723622,48569,48606
22,1767152723642,48699,48622
23,1767152723662,48645,48632
24,1767152723682,48600,48629
25,1767152723702,48579,48618
26,1767152723722,48591,48622
27,1767152723741,48611,48605
28,1767152723761,48427,48561
29,1767152723781,48528,48547
30,1767152723801,48547,48540
31,1767152723821,48521,48526
32,1767152723840,48520,48508
33,1767152723860,48562,48535
34,1767152723880,48483,48526
35,1767152723939,48475,48512
36,1767152723959,48491,48506
37,1767152723979,48628,48527
38,1767152724038,48806,48576
39,1767152724058,48825,48645
40,1767152724078,48886,48727
41,1767152724098,48747,48778
42,1767152724118,48648,48782
43,1767152724137,48687,48758
44,1767152724157,48655,48724
45,1767152724177,48663,48680
46,1767152724197,48744,48679
47,1767152724217,48771,48704
48,1767152724236,48662,48699
49,1767152724256,48610,48690
50,1767152724276,48534,48664
51,1767152724335,48619,48639
52,1767152724355,48681,48621
53,1767152724375,48657,48620
54,1767152724395,48567,48611
55,1767152724415,48550,48614
56,1767152724434,48597,48610
57,1767152724454,48472,48568
58,1767152724474,48509,48539
59,1767152724494,48501,48525
60,1767152724553,48563,48528
61,1767152724573,48649,48538
62,1767152724593,48664,48577
63,1767152724613,48651,48605
64,1767152724632,48558,48617
65,1767152724652,48701,48644
66,1767152724672,48798,48674
67,1767152724692,48786,48698
68,1767152724711,48777,48724
69,1767152724731,48657,48743
70,1767152724751,48678,48739
71,1767152724771,48691,48717
72,1767152724791,48611,48682
73,1767152724811,48653,48658
74,1767152724830,48616,48649
75,1767152724850,48646,48643
76,1767152724870,48567,48618
77,1767152724890,48634,48623
78,1767152724909,48668,48626
79,1767152724929,48757,48654
80,1767152724949,48811,48687
81,1767152724969,48826,48739
82,1767152724989,48794,48771
83,1767152725009,48810,48799
84,1767152725028,48917,48831
85,1767152725048,49049,48879
86,1767152725068,48968,48907
87,1767152725088,48893,48927
88,1767152725108,48903,48946
89,1767152725127,48743,48911
90,1767152725147,48934,48888
