frame_idx,timestamp_ms,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,sig_mm,conf,conf_ema,vision_state,has_hand,has_main_hand,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1767152351680,0.061299368552034494,0.061299368552034494,0.061299368552034494,0.061299368552034494,0.061299368552034494,0.9847421050071716,0.590845263004303,ok,True,True,0.0,0.0,1.0,0.0,0.9804841750435145
1,1767152351711,0.02776365917513585,0.04117794292589531,0.043491835095526885,0.043491835095526885,0.043491835095526885,0.9839825630187988,0.8267276430130004,ok,True,True,-0.003659717940175413,0.013414283750759457,1.0,0.0,0.9804841750435145
2,1767152351741,-0.16272606688963343,-0.08116446296342193,-0.0667342508580128,-0.0667342508580128,-0.0667342508580128,0.9800670146942139,0.9187312660217285,ok,True,True,-0.03499189117951644,0.08156160392621149,1.0,0.0,0.9804841750435145
3,1767152351774,-0.025088848696322583,-0.04751909440316232,-0.04987586430864362,-0.04987586430864362,-0.04987586430864362,0.986046314239502,0.9591202949523925,ok,True,True,-0.028705825227752363,0.022430245706839737,1.0,0.0,0.9804841750435145
4,1767152351919,0.12207745366955003,0.05423883444046508,0.042114285027912146,0.042114285027912146,0.042114285027912146,0.9815186858177185,0.9725593294715881,ok,True,True,0.009378427923559182,0.06783861922908495,1.0,0.0,0.9804841750435145
5,1767152351939,-0.30145527904723063,-0.15917763365215232,-0.13596042451263152,-0.13596042451263152,-0.13596042451263152,0.9807650446891785,0.9774827586021423,ok,True,True,-0.07424115203120726,0.1422776453950783,1.0,0.0,0.9804841750435145
6,1767152351965,0.012625174428134812,-0.056095948803980035,-0.06555991472812701,-0.06555991472812701,-0.06555991472812701,0.9818331003189087,0.9800929636322021,ok,True,True,-0.0359255247214223,0.06872112323211485,1.0,0.0,0.9804841750435145
7,1767152351991,0.12556608701861216,0.052901272689575285,0.03917359003137394,0.03917359003137394,0.03917359003137394,0.9836002588272095,0.9821973407492066,ok,True,True,0.025585403675335266,0.07266481432903688,1.0,0.0,0.9804841750435145
8,1767152352020,0.06683405374996995,0.061260941325812085,0.0588292266003796,0.0588292266003796,0.0588292266003796,0.981101393699646,0.9815397725194703,ok,True,True,0.03749393495470221,0.005573112424157867,1.0,0.0,0.9804841750435145
9,1767152352045,-0.25933304870904894,-0.13109545269510453,-0.10924045747726702,-0.10924045747726702,-0.10924045747726702,0.9825443029403687,0.9821424907720093,ok,True,True,-0.0782682597106721,0.1282375960139444,1.0,0.0,0.9804841750435145
10,1767152352069,-0.2810982126182717,-0.22109710864900486,-0.20862851965019774,-0.20862851965019774,-0.20862851965019774,0.9794356822967529,0.9805184056868556,ok,True,True,-0.14907840421227356,0.06000110396926686,1.0,0.0,0.9804841750435145
11,1767152352100,-0.3840962327970894,-0.31889658313785557,-0.3068975275862497,-0.3068975275862497,-0.3068975275862497,0.9831700921058655,0.9821094175382614,ok,True,True,-0.22159419076451375,0.0651996496592338,1.0,0.0,0.9804841750435145
12,1767152352126,0.3470454523224967,0.08066863813835576,0.03572974144356578,0.03572974144356578,0.03572974144356578,0.9844433069229126,0.983509751169052,ok,True,True,0.06555083729598038,0.26637681418414094,1.0,0.0,0.9804841750435145
13,1767152352151,-0.12325335874900963,-0.041684559994063466,-0.032640250073384204,-0.032640250073384204,-0.032640250073384204,0.9796952605247498,0.9812210567824707,ok,True,True,0.0047944187998264914,0.08156879875494616,1.0,0.0,0.9804841750435145
14,1767152352171,0.13694006625715244,0.06549021575666607,0.05437327307520257,0.05437327307520257,0.05437327307520257,0.9817810654640198,0.9815570619914001,ok,True,True,0.08291775147262768,0.07144985050048637,1.0,0.0,0.9804841750435145
15,1767152352194,-0.5941039141393132,-0.3302662621809215,-0.286361626331486,-0.286361626331486,-0.286361626331486,0.9851963520050049,0.983740635999563,ok,True,True,-0.2384291243760745,0.2638376519583917,1.0,0.0,0.9804841750435145
16,1767152352221,-0.333071377981647,-0.33194933166135676,-0.3276885604092252,-0.3276885604092252,-0.3276885604092252,0.986577033996582,0.9854424747977744,ok,True,True,-0.27078263454852264,0.0011220463202902264,1.0,0.0,0.9804841750435145
17,1767152352246,0.1726885002458944,-0.02916663251700606,-0.06394219554814456,-0.06394219554814456,-0.06394219554814456,0.9834407567977905,0.984241443997784,ok,True,True,0.002215594797080056,0.20185513276290046,1.0,0.0,0.9804841750435145
18,1767152352276,-0.019519679478462296,-0.023378460693879805,-0.027952106791751245,-0.027952106791751245,-0.027952106791751245,0.9809988141059875,0.9822958660627061,ok,True,True,0.03921897479119999,0.003858781215417509,1.0,0.0,0.9804841750435145
19,1767152352309,-0.22826869409342987,-0.14631260073360983,-0.1328081068736578,-0.1328081068736578,-0.1328081068736578,0.9811248183250427,0.9815932374201081,ok,True,True,-0.07306788430046046,0.08195609335982004,1.0,0.0,0.9804841750435145
20,1767152352340,-0.4298220432174159,-0.31641826622389346,-0.29599091286251733,-0.29599091286251733,-0.29599091286251733,0.9830538630485535,0.9824696127971753,ok,True,True,-0.24718220222996437,0.11340377699352244,1.0,0.0,0.9804841750435145
21,1767152352374,-0.2107565593082696,-0.25302124207451915,-0.2587902771385717,-0.2587902771385717,-0.2587902771385717,0.9809517860412598,0.981558916743626,ok,True,True,-0.19688952685832856,0.04226468276624956,1.0,0.0,0.9804841750435145
22,1767152352521,0.1072205884186018,-0.03687614377864659,-0.06259587200277392,-0.06259587200277392,-0.06259587200277392,0.9815331697463989,0.9815434685452898,ok,True,True,0.03196002790593705,0.1440967321972484,1.0,0.0,0.9804841750435145
23,1767152352540,-0.3972518863984125,-0.25310158935050614,-0.23155166994500143,-0.23155166994500143,-0.23155166994500143,0.9814844131469727,0.9815080353062995,ok,True,True,-0.16338382743521196,0.14415029704790638,1.0,0.0,0.9804841750435145
24,1767152352560,-0.5512805087293267,-0.43200894097779846,-0.41008641774759347,-0.41008641774759347,-0.41008641774759347,0.9849337935447693,0.9835634902493813,ok,True,True,-0.36549007966804703,0.1192715677515282,1.0,0.0,0.9804841750435145
25,1767152352583,-0.5069168170960308,-0.47695366664873784,-0.4708099593782256,-0.4708099593782256,-0.4708099593782256,0.9841104745864868,0.9838916808516447,ok,True,True,-0.42300601451534214,0.02996315044729292,1.0,0.0,0.9804841750435145
26,1767152352603,-0.037847936068510245,-0.21349022830060127,-0.24396690766792423,-0.24396690766792423,-0.24396690766792423,0.9840311408042908,0.9839753568232323,ok,True,True,-0.13367902779775692,0.17564229223209102,1.0,0.0,0.9804841750435145
