idx,host_ms,val_raw,val_filt
0,1767152059783,48313,48313
1,1767152059802,48235,48274
2,1767152059822,48311,48286
3,1767152059842,48308,48291
4,1767152059902,48329,48299
5,1767152059922,48373,48311
6,1767152059941,48315,48327
7,1767152059961,48389,48342
8,1767152059981,48475,48376
9,1767152060001,48429,48396
10,1767152060021,48471,48415
11,1767152060040,48347,48422
12,1767152060060,48441,48432
13,1767152060080,48354,48408
14,1767152060100,48450,48412
15,1767152060120,48451,48408
16,1767152060140,48472,48433
17,1767152060159,48495,48444
18,1767152060179,48376,48448
19,1767152060199,48374,48433
20,1767152060219,48397,48422
21,1767152060238,48371,48402
22,1767152060258,48402,48384
23,1767152060278,48315,48371
24,1767152060297,48334,48363
25,1767152060317,48181,48320
26,1767152060337,48256,48297
27,1767152060357,48298,48276
28,1767152060377,48252,48264
29,1767152060397,48237,48244
30,1767152060416,48211,48250
31,1767152060436,48216,48242
32,1767152060496,48088,48200
33,1767152060555,48180,48186
34,1767152060575,48070,48153
35,1767152060595,48084,48127
36,1767152060654,48031,48090
37,1767152060674,48022,48077
38,1767152060694,47934,48028
39,1767152060713,48010,48016
40,1767152060733,48100,48019
41,1767152060753,48091,48031
42,1767152060773,48111,48049
43,1767152060793,48159,48094
44,1767152060812,48113,48114
45,1767152060832,48174,48129
46,1767152060852,48280,48167
47,1767152060872,48303,48205
48,1767152060892,48260,48226
49,1767152060911,48242,48251
50,1767152060931,48245,48266
51,1767152060951,48247,48259
52,1767152060971,48302,48259
53,1767152060991,48211,48249
54,1767152061050,48181,48237
55,1767152061109,48122,48212
56,1767152061129,48053,48173
57,1767152061149,48035,48120
58,1767152061169,48019,48082
59,1767152061268,48239,48093
60,1767152061288,48226,48114
61,1767152061347,48219,48147
62,1767152061367,48189,48178
63,1767152061386,48149,48204
64,1767152061406,48163,48189
65,1767152061426,48131,48170
66,1767152061446,47998,48126
67,1767152061466,48107,48109
68,1767152061486,48007,48081
69,1767152061505,48024,48053
70,1767152061525,48068,48040
71,1767152061545,48022,48045
72,1767152061565,47884,48001
73,1767152061585,47921,47983
74,1767152061644,47928,47964
75,1767152061664,47815,47914
76,1767152061684,47841,47877
77,1767152061703,47886,47878
78,1767152061723,47845,47863
79,1767152061743,47848,47847
80,1767152061763,47896,47863
81,1767152061783,47947,47884
82,1767152061802,48119,47931
83,1767152061822,48002,47962
84,1767152061842,47991,47991
85,1767152061862,48000,48011
86,1767152061882,48096,48041
87,1767152061902,48036,48025
88,1767152061921,47945,48013
89,1767152061941,47928,48001
90,1767152061961,47774,47955
91,1767152061980,47903,47917
92,1767152062000,47796,47869
93,1767152062020,47888,47857
