frame_idx,timestamp_ms,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,sig_mm,conf,conf_ema,vision_state,has_hand,has_main_hand,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1767532691391,0.2890409169275536,0.2890409169275536,0.2890409169275536,0.2890409169275536,0.2890409169275536,0.9464671611785889,0.5678802967071533,ok,True,True,0.0,0.0,1.0,0.0,0.9804841750435145
1,1767532691424,0.02491631364996078,0.1305661549609979,0.14879018727420937,0.14879018727420937,0.14879018727420937,0.938288152217865,0.7901250100135803,ok,True,True,-0.028823649984353265,0.10564984131103713,1.0,0.0,0.9804841750435145
2,1767532691458,0.39820582933626186,0.29114995958615625,0.2745429206798802,0.2745429206798802,0.2745429206798802,0.9495666027069092,0.8857899656295777,ok,True,True,0.007235045217283492,0.10705586975010561,1.0,0.0,0.9804841750435145
3,1767532691492,-0.09176036776570665,0.06140376317503852,0.0860774636647739,0.0860774636647739,0.0860774636647739,0.9324196577072144,0.9137677808761597,ok,True,True,-0.058575583216074534,0.15316413094074516,1.0,0.0,0.9804841750435145
4,1767532691526,0.01803675167495689,0.03538355627498954,0.04100798375025403,0.04100798375025403,0.04100798375025403,0.946144163608551,0.9331936105155945,ok,True,True,-0.07624239395770874,0.017346804600032652,1.0,0.0,0.9804841750435145
5,1767532691558,0.41587888954773805,0.2636807562386386,0.23774460900835176,0.23774460900835176,0.23774460900835176,0.9326611161231995,0.9328741138801575,ok,True,True,0.017169769580493807,0.15219813330909943,1.0,0.0,0.9804841750435145
6,1767532691591,-0.3829319373376757,-0.12428685990714995,-0.0826096179987022,-0.0826096179987022,-0.0826096179987022,0.9417712688446045,0.9382124068588258,ok,True,True,-0.15156389673474757,0.2586450774305258,1.0,0.0,0.9804841750435145
7,1767532691624,0.12866148759381638,0.027482148593429838,0.014272421209524183,0.014272421209524183,0.014272421209524183,0.9413590431213379,0.940100388616333,ok,True,True,-0.09237381961225008,0.10117933900038653,1.0,0.0,0.9804841750435145
8,1767532691659,-0.07260449469746273,-0.0325698373811057,-0.027558208750238896,-0.027558208750238896,-0.027558208750238896,0.9492528438568115,0.9455918617606202,ok,True,True,-0.11691663941223046,0.04003465731635703,1.0,0.0,0.9804841750435145
9,1767532691691,0.7719263952716235,0.45012790221053184,0.3950734745379464,0.3950734745379464,0.3950734745379464,0.9352241158485413,0.9393712142133728,ok,True,True,0.1746973055875355,0.3217984930610917,1.0,0.0,0.9804841750435145
10,1767532691724,0.35262370233228874,0.391625382283586,0.39268353239127685,0.39268353239127685,0.39268353239127685,0.9458470940589905,0.9432567421207434,ok,True,True,0.1686879839203331,0.039001679951297274,1.0,0.0,0.9804841750435145
11,1767532691758,-0.22149499805957695,0.02375315407768827,0.06643442582835013,0.06643442582835013,0.06643442582835013,0.937311589717865,0.9396896506790164,ok,True,True,-0.0892544831961676,0.24524815213726522,1.0,0.0,0.9804841750435145
