idx,host_ms,val_raw,val_filt
0,1767153294849,48134,48134
1,1767153294868,48040,48087
2,1767153294928,48278,48150
3,1767153294948,48319,48192
4,1767153294967,48335,48221
5,1767153294987,48455,48285
6,1767153295007,48535,48384
7,1767153295027,48498,48428
8,1767153295047,48531,48470
9,1767153295067,48463,48496
10,1767153295087,48459,48497
11,1767153295106,48528,48495
12,1767153295126,48485,48493
13,1767153295186,48515,48490
14,1767153295205,48484,48494
15,1767153295225,48392,48480
16,1767153295245,48396,48454
17,1767153295265,48487,48454
18,1767153295284,48518,48455
19,1767153295304,48357,48430
20,1767153295324,48445,48440
21,1767153295344,48436,48448
22,1767153295363,48362,48423
23,1767153295383,48349,48389
24,1767153295403,48445,48407
25,1767153295423,48446,48407
26,1767153295443,48308,48382
27,1767153295463,48416,48392
28,1767153295482,48253,48373
29,1767153295502,48214,48327
30,1767153295522,48144,48267
31,1767153295542,48151,48235
32,1767153295562,48097,48171
33,1767153295582,48182,48157
34,1767153295601,48133,48141
35,1767153295621,48106,48133
36,1767153295641,48114,48126
37,1767153295661,48043,48115
38,1767153295681,48159,48111
39,1767153295700,47968,48078
40,1767153295720,47998,48056
41,1767153295740,47954,48024
42,1767153295759,47974,48010
43,1767153295779,48004,47979
44,1767153295799,47850,47956
45,1767153295819,47949,47946
46,1767153295839,47954,47946
47,1767153295859,48030,47957
48,1767153295879,48048,47966
49,1767153295898,48019,48000
50,1767153295918,48092,48028
51,1767153295938,48053,48048
52,1767153295958,47979,48038
53,1767153295977,48041,48036
54,1767153295997,48042,48041
55,1767153296017,48030,48029
56,1767153296037,47988,48016
57,1767153296057,47994,48019
58,1767153296076,48126,48036
59,1767153296096,48129,48053
60,1767153296116,48050,48057
61,1767153296136,48057,48071
62,1767153296156,48074,48087
63,1767153296175,48046,48071
64,1767153296195,48163,48078
65,1767153296215,48162,48100
66,1767153296235,48164,48121
67,1767153296255,48096,48126
68,1767153296274,48153,48147
69,1767153296294,48146,48144
70,1767153296314,48289,48169
71,1767153296334,48218,48180
72,1767153296353,48197,48200
73,1767153296373,48242,48218
74,1767153296393,48224,48234
75,1767153296413,48288,48233
76,1767153296433,48266,48243
77,1767153296492,48265,48257
78,1767153296512,48279,48264
79,1767153296532,48336,48286
80,1767153296551,48288,48286
81,1767153296571,48202,48274
82,1767153296591,48384,48297
83,1767153296611,48464,48334
84,1767153296631,48436,48354
85,1767153296690,48535,48404
86,1767153296710,48504,48464
87,1767153296730,48559,48499
88,1767153296750,48443,48495
89,1767153296769,48562,48520
90,1767153296789,48514,48516
91,1767153296809,48652,48546
92,1767153296829,48623,48558
93,1767153296848,48596,48589
94,1767153296868,48574,48591
95,1767153296888,48670,48623
96,1767153296908,48608,48614
97,1767153296928,48718,48633
98,1767153296947,48686,48651
99,1767153296967,48685,48673
100,1767153296987,48741,48687
101,1767153297007,48723,48710
102,1767153297027,48666,48700
103,1767153297047,48664,48695
104,1767153297066,48698,48698
105,1767153297086,48660,48682
106,1767153297106,48704,48678
107,1767153297126,48624,48670
108,1767153297145,48632,48663
109,1767153297165,48620,48648
